"lang"
{
	"Language"		"finnish"
		"ItemHistory_Action_AwardStorePromotionItem"					"Ostettu kaupasta"
		"ItemHistory_Action_EarnedItem"									"Ansaittu"
		"ItemHistory_Action_AwardThirdPartyPromo"						"Ansaitsi kampanjatuotteen"
		"ItemHistory_Action_SteamWorkshopContributor"					"Ansaittu Steam Workshop -sisällönkehittäjän työstä"
		"ItemHistory_Action_GiftDelivery_Add"							"Sai lahjan"
		"ItemHistory_Action_GiftDelivery_Add_WithPartner"				"Sai lahjan käyttäjältä %partner%"
		"ItemHistory_Action_PackageItem"								"Ansaitsi kampanjatuotteen"
		"ItemHistory_Action_CDKeyGrant"									"Saatu syöttämällä tuotekoodi"
		"ItemHistory_Action_AwardXP"									"Ansaittu tason saavuttamisesta"
		"ItemHistory_Action_UnpackItems"								"Purettu paketista"
		"ItemHistory_Action_TutorialDrop"								"Ansaittu opetusohjelman suorittamisesta"
		"ItemHistory_Action_FantasyTicketRefund"						"Hyvitetty"
		"ItemHistory_Action_AdditionalDrop"								"Löydetty"
		"ItemHistory_Action_Market_Add"									"Saatu yhteisön kauppapaikalta"
		"ItemHistory_Action_UseItem_Rollback_NewItem"					"Esineen käyttäminen epäonnistui. Esine palautettu."
		"ItemHistory_Action_CreatedByManualItemRecreateOperation"		"Steamin tuen luoma"
		"ItemHistory_Action_EventWon"									"Voitettu tapahtumasta"
		"ItemHistory_Action_TournamentDrop"								"Palkinto ansaittu turnauksen katsomisesta"
		"ItemHistory_Action_DiretideReward"								"Palkinto ansaittu Diretide-tapahtumassa"
		"ItemHistory_Action_EventPointLevel"							"Sai turnauskirjapalkinnon"
		"ItemHistory_Action_PerfectWorldPromo"							"Ansaitsi kampanjatuotteen"
		"ItemHistory_Action_VictoryPredictionReward"					"Palkinto oikein tehdystä turnauskirjaveikkauksesta"
		"ItemHistory_Action_AssassinMinigameDrop"						"Ansaittu osallistumalla Nemesis Assassin -tapahtumaan"
		"ItemHistory_Action_WeekendTourneyTicket_Refund"				"Hyvitetty"
		"ItemHistory_Action_PlayerCardPackFromDust"						"Vaihtoi tomua pelaajakorttipakettiin"
		"ItemHistory_Action_WeekendTourneyChampionsCupTicketEarned"		"Ansaittu"
		"ItemHistory_Action_EventPointPurchase"							"Ostettu pisteillä"
		"ItemHistory_Action_SeasonalItemGrant"							"Tilaus- tai kauden esinemyöntö"

		

		"ItemHistory_Transaction_Delete"								"Poistit"
		"ItemHistory_Transaction_Craft"									"Luotu"
		"ItemHistory_Transaction_UnlockCrate"							"Avasi aarteen"
		"ItemHistory_Transaction_SupportUndo"							"Steamin tuki perui yhden tai useamman aiemman toimintosi"
		"ItemHistory_Transaction_StrangePart"							"Lisäsi kummallisen muuntajan"
		"ItemHistory_Transaction_ConsumeItem_Complete"					"Ohje on valmis"
		"ItemHistory_Transaction_RemoveItemCraftIndex"					"Poisti luonti-indeksin"
		"ItemHistory_Transaction_Autographed"							"Liitti nimikirjoituksen"
		"ItemHistory_Transaction_PurchaseFinalized"						"Ostos viimeistelty"
		"ItemHistory_Transaction_Recycled"								"Kierrätetty"
		"ItemHistory_Transaction_PennantUpgrade"						"Nosti viirin tasoa"
		"ItemHistory_Transaction_ApplyEssence"							"Yhdisti munan esanssin kanssa"
		"ItemHistory_Transaction_OpenPlayerCardPack"					"Avasi pelaajakorttipaketin"
		"ItemHistory_Transaction_PlayerCardRecycle"						"Kierrätetty tomuksi"

		"ItemHistory_ItemIsInInventory"		"Tavaraluettelossasi"
		"ItemHistory_ItemIsSubscription"	"Tilattava esine"

		// Game states
		"EGameState_Intro"	"Esittely"
		"EGameState_Playing"	"Pelissä"
		"EGameState_GameOver"	"Peli ohi"

		// Round States
		"ERoundState_Preparing"	"Valmistautuu"
		"ERoundState_Ready"		"Valmiina"
		"ERoundState_Combat"	"Taistelu"
		"ERoundState_RoundOver"	"Alkaa"
		"GAME_FLOW_STEP_POST_COMBAT" "Odottaa"
		"DAC_Looting"			"Looting"

		"dac_creep_wave_1"		"Lämmittely"
		"dac_creep_wave_2"		"Harjoituspeli"
		"dac_creep_wave_3"		"Varustaudu"
		"dac_creep_wave_4"		"1. väliaika"
		"dac_creep_wave_5"		"Paljon savua, vähän tulta"
		"dac_creep_wave_6"		"Karhuansa!"
		"dac_creep_wave_7"		"Henkiinjäämistaistelu"
		"dac_creep_wave_8"		"Iso riskistä kunnon korvaukset"
		"dac_creep_wave_9"		"Panokset kovenevat"
		"dac_creep_wave_10"		"Peikot tulloo!"
		"dac_creep_wave_11"		"Nyt on loppupeli käsillä..."
		"dac_creep_wave_12"		"OK. Siis loppupelin hetki on NYT käsillä..."


		"default_item"						"Tukikohta"
		
		//Hero Names
		"npc_dota_hero_none"				"--"
		"npc_dota_hero_queenofpain"			"Queen of Pain"
		"npc_dota_hero_antimage"			"Anti-Mage"
		"npc_dota_hero_kunkka"				"Kunkka"
		"npc_dota_hero_lina"				"Lina"
		"npc_dota_hero_mirana"				"Mirana"
		"npc_dota_hero_slardar"				"Slardar"
		"npc_dota_hero_lion"				"Lion"
		"npc_dota_hero_phantom_assassin"	"Phantom Assassin"
		"npc_dota_hero_tidehunter"			"Tidehunter"
		"npc_dota_hero_witch_doctor"		"Witch Doctor"
		"npc_dota_hero_vengefulspirit"		"Vengeful Spirit"
		"npc_dota_hero_juggernaut"			"Juggernaut"
		"npc_dota_hero_earthshaker"			"Earthshaker"
		"npc_dota_hero_pudge"				"Pudge"
		"npc_dota_hero_bane"				"Bane"
		"npc_dota_hero_crystal_maiden"		"Crystal Maiden"
		"npc_dota_hero_sven"				"Sven"
		"npc_dota_hero_skeleton_king"		"Wraith King"
		"npc_dota_hero_storm_spirit"		"Storm Spirit"
		"npc_dota_hero_sand_king"			"Sand King"
		"npc_dota_hero_nevermore"			"Shadow Fiend"
		"npc_dota_hero_drow_ranger"			"Drow Ranger"
		"npc_dota_hero_axe"					"Axe"
		"npc_dota_hero_bloodseeker"			"Bloodseeker"
		"npc_dota_hero_phantom_lancer"		"Phantom Lancer"
		"npc_dota_hero_razor"				"Razor"
		"npc_dota_hero_morphling"			"Morphling"
		"npc_dota_hero_zuus"				"Zeus"
		"npc_dota_hero_tiny"				"Tiny"
		"npc_dota_hero_puck"				"Puck"
		"npc_dota_hero_windrunner"			"Windranger"
		"npc_dota_hero_lich"				"Lich"
		"npc_dota_hero_shadow_shaman"		"Shadow Shaman"
		"npc_dota_hero_riki"				"Riki"
		"npc_dota_hero_enigma"				"Enigma"
		"npc_dota_hero_tinker"				"Tinker"
		"npc_dota_hero_sniper"				"Sniper"
		"npc_dota_hero_necrolyte"			"Necrophos"
		"npc_dota_hero_warlock"				"Warlock"
		"npc_dota_hero_beastmaster"			"Beastmaster"
		"npc_dota_hero_venomancer"			"Venomancer"
		"npc_dota_hero_faceless_void"		"Faceless Void"
		"npc_dota_hero_death_prophet"		"Death Prophet"
		"npc_dota_hero_pugna"				"Pugna"
		"npc_dota_hero_templar_assassin"	"Templar Assassin"
		"npc_dota_hero_viper"				"Viper"
		"npc_dota_hero_luna"				"Luna"
		"npc_dota_hero_dragon_knight"		"Dragon Knight"
		"npc_dota_hero_dazzle"				"Dazzle"
		"npc_dota_hero_rattletrap"			"Clockwerk"
		"npc_dota_hero_leshrac"				"Leshrac"
		"npc_dota_hero_furion"				"Nature's Prophet"
		"npc_dota_hero_life_stealer"		"Lifestealer"
		"npc_dota_hero_dark_seer"			"Dark Seer"
		"npc_dota_hero_clinkz"				"Clinkz"
		"npc_dota_hero_omniknight"			"Omniknight"
		"npc_dota_hero_enchantress"			"Enchantress"
		"npc_dota_hero_huskar"				"Huskar"
		"npc_dota_hero_night_stalker"		"Night Stalker"
		"npc_dota_hero_broodmother"			"Broodmother"
		"npc_dota_hero_bounty_hunter"		"Bounty Hunter"
		"npc_dota_hero_weaver"				"Weaver"
		"npc_dota_hero_jakiro"				"Jakiro"
		"npc_dota_hero_batrider"			"Batrider"
		"npc_dota_hero_chen"				"Chen"
		"npc_dota_hero_spectre"				"Spectre"
		"npc_dota_hero_doom_bringer"		"Doom"
		"npc_dota_hero_ancient_apparition"	"Ancient Apparition"
		"npc_dota_hero_ursa"				"Ursa"
		"npc_dota_hero_spirit_breaker"		"Spirit Breaker"
		"npc_dota_hero_gyrocopter"			"Gyrocopter"
		"npc_dota_hero_alchemist"			"Alchemist"
		"npc_dota_hero_invoker"				"Invoker"
		"npc_dota_hero_silencer"			"Silencer"
		"npc_dota_hero_obsidian_destroyer"	"Outworld Devourer"
		"npc_dota_hero_lycan"				"Lycan"
		"npc_dota_hero_brewmaster"			"Brewmaster"
		"npc_dota_hero_shadow_demon"		"Shadow Demon"
		"npc_dota_hero_lone_druid"			"Lone Druid"
		"npc_dota_hero_chaos_knight"		"Chaos Knight"
		"npc_dota_hero_treant"				"Treant Protector"
		"npc_dota_hero_meepo"				"Meepo"
		"npc_dota_hero_ogre_magi"			"Ogre Magi"
		"npc_dota_hero_undying"				"Undying"
		"npc_dota_hero_rubick"				"Rubick"
		"npc_dota_hero_disruptor"			"Disruptor"
		"npc_dota_hero_nyx_assassin"		"Nyx Assassin"
		"npc_dota_hero_naga_siren"			"Naga Siren"
		"npc_dota_hero_keeper_of_the_light"	"Keeper of the Light"
		"npc_dota_hero_visage"				"Visage"
		"npc_dota_hero_wisp"				"Io"
		"npc_dota_hero_slark"				"Slark"
		"npc_dota_hero_medusa"				"Medusa"
		"npc_dota_hero_troll_warlord"		"Troll Warlord"
		"npc_dota_hero_centaur"				"Centaur Warrunner"
		"npc_dota_hero_magnataur"			"Magnus"
		"npc_dota_hero_shredder"			"Timbersaw"
		"npc_dota_hero_bristleback"			"Bristleback"
		"npc_dota_hero_tusk"				"Tusk"
		"npc_dota_hero_skywrath_mage"		"Skywrath Mage"
		"npc_dota_hero_abaddon"				"Abaddon"
		"npc_dota_hero_elder_titan"			"Elder Titan"
		"npc_dota_hero_legion_commander"	"Legioonakomentaja"
		"npc_dota_hero_ember_spirit"		"Ember Spirit"
		"npc_dota_hero_earth_spirit"		"Earth Spirit"
		"npc_dota_hero_abyssal_underlord"	"Underlord"
		"npc_dota_hero_phoenix"				"Phoenix"
		"npc_dota_hero_terrorblade"			"Terrorblade"
		"npc_dota_hero_oracle"				"Oracle"
		"npc_dota_hero_techies"				"Techies"
		"npc_dota_hero_target_dummy"		"Harjoitusmaali"
		"npc_dota_hero_winter_wyvern"		"Winter Wyvern"
		"npc_dota_hero_arc_warden"			"Arc Warden"
		"npc_dota_hero_monkey_king"			"Monkey King"
		"npc_dota_hero_pangolier"			"Pangolier"
		"npc_dota_hero_dark_willow"			"Dark Willow"
		"npc_dota_hero_grimstroke"			"Grimstroke"
		"npc_dota_hero_mars"				"Mars"

		
		// Quality
		"base"							"Perus"
		
		
		// Loadout Slots
		"LoadoutSlot_None"									"—"
		"LoadoutSlot_Weapon"								"Ase"
		"LoadoutSlot_OffHand_Weapon"						"Tukikäsi"
		"LoadoutSlot_Head"									"Pää"
		"LoadoutSlot_Shoulder"								"Olkapää"
		"LoadoutSlot_Arms"									"Kädet"
		"LoadoutSlot_Armor"									"Panssari"
		"LoadoutSlot_Belt"									"Vyö"
		"LoadoutSlot_Back"									"Selkä"
		"LoadoutSlot_Neck"									"Kaula"
		"LoadoutSlot_Legs"									"Jalat"
		"LoadoutSlot_Gloves"								"Hanskat"
		"LoadoutSlot_Tail"									"Häntä"
		"LoadoutSlot_Taunt"									"Pilkka"
		"LoadoutSlot_Emblem"								"Tunnus"
		"LoadoutSlot_Courier"								"Kuriiri"
		"LoadoutSlot_Announcer"								"Kuuluttaja"
		"LoadoutSlot_Heroic_Statue"							"Sankariveistos"
		"LoadoutSlot_Mega_Kills"							"Megatappokuuluttaja"
		"LoadoutSlot_Fan"									"Fani"
		"LoadoutSlot_Action_Item"							"Toimintoesine"
		"LoadoutSlot_Fan_Item"								"Fanituote"
		"LoadoutSlot_Weather"								"Sää"
		"LoadoutSlot_Terrain"								"Maasto"
		"LoadoutSlot_MultiKill_Banner"						"Tapposarjalippu"
		"LoadoutSlot_Music"									"Musiikki"
		"LoadoutSlot_Ability_Attack"						"Perushyökkäys"
		"LoadoutSlot_Ability1"								"Kyky 1"
		"LoadoutSlot_Ability2"								"Kyky 2"
		"LoadoutSlot_Ability3"								"Kyky 3"
		"LoadoutSlot_Ability4"								"Kyky 4"
		"LoadoutSlot_AbilityUltimate"						"Ultimate"
		"LoadoutSlot_Ability_Ultimate"						"Lopullinen"
		"LoadoutSlot_Body_Head"								"Keho - Pää"
		"LoadoutSlot_Mount"									"Ratsu"
		"LoadoutSlot_Custom_Hex"							"Hex-tehosteet"
		"LoadoutSlot_Misc"									"Muut"
		"LoadoutSlot_Summon"								"Kutsuttu hahmo"
		"LoadoutSlot_ward"									"Ward"
		"LoadoutSlot_hud_skin"								"HUD-ulkoasu"
		"LoadoutSlot_Shapeshift"							"Shapeshift"
		"LoadoutSlot_Wolves"								"Sudet"
		"LoadoutSlot_loading_screen"						"Latausnäyttö"
		"LoadoutSlot_Elder_Dragon"							"Elder Dragon Form"
		"LoadoutSlot_Head_Accessory"						"Pää"
		"LoadoutSlot_Shield"								"Kilpi"
		"LoadoutSlot_Wings"									"Siivet"
		"LoadoutSlot_Quiver"								"Nuolikotelo"
		"LoadoutSlot_Beard"									"Parta"
		"LoadoutSlot_Heads"									"Päät"
		"LoadoutSlot_LeftArm"								"Vasen käsi"
		"LoadoutSlot_RightArm"								"Oikea käsi"
		"LoadoutSlot_Body"									"Vartalo"
		"LoadoutSlot_Claws"									"Kynnet"
		"LoadoutSlot_ambient_effects"						"Tunnelmatehosteet"
		"LoadoutSlot_cursor_pack"							"Kursoripaketti"
		"LoadoutSlot_teleport_effect"						"Teleporttaustehoste"
		"LoadoutSlot_blink_effect"							"Vilkkumistehoste"
		"LoadoutSlot_Voice"									"Ääni"
 		"LoadoutSlot_Pet"									"Lemmikki"
		"LoadoutSlot_Visage_Familiar"						"Henkiolennot"
		"LoadoutSlot_Phoenix_Supernova"						"Supernova"
		"LoadoutSlot_Radiant_Creeps"						"Radiantin kätyrit"
		"LoadoutSlot_Dire_Creeps"							"Diren kätyrit"

		//Hero Loadoutslots
		"LoadoutSlot_Alchemist_TinyArmor"					"Pikkupanssari"
		"LoadoutSlot_Alchemist_Flask"						"Pullo"
		"LoadoutSlot_Alchemist_TinyHead"					"Pikkupää"
		"LoadoutSlot_Beastmaster_Hawk"						"Haukka"
		"LoadoutSlot_Beastmaster_Boar"						"Villisika"
		"LoadoutSlot_Brewmaster_Barrel"						"Tynnyri"
		"LoadoutSlot_Brewmaster_Shoulder"					"Panssari"
		"LoadoutSlot_Broodmother_Spiderling"				"Spiderling"
		"LoadoutSlot_Clockwerk_Rocket"						"Rocket Flare"
		"LoadoutSlot_Clockwerk_Cogs"						"Power Cogs"
		"LoadoutSlot_Death_Spirits"							"Spirits"
		"LoadoutSlot_EarthSpirit_StoneRemnant"				"Stone Remnant"
		"LoadoutSlot_Earthshaker_Totem"						"Totem"
		"LoadoutSlot_ElderTitan_AstralSpirit"				"Astral Spirit"
		"LoadoutSlot_Enigma_Eidolons"						"Eidolonit"
		"LoadoutSlot_Gyrocopter_Guns"						"Aseet"
		"LoadoutSlot_Gyrocopter_Propeller"					"Propelli"
		"LoadoutSlot_Gyrocopter_MissileCompartment"			"Ohjussäilö"
		"LoadoutSlot_Gyrocopter_HomingMissile"				"Homing Missile"
		"LoadoutSlot_Invoker_ForgeSpirit"					"Forge Spirit"
		"LoadoutSlot_Juggernaut_HealingWard"				"Healing Ward"
		"LoadoutSlot_LegionCommander_Banners"				"Sotalippu"
		"LoadoutSlot_LoneDruid_TrueForm"					"True Form"
		"LoadoutSlot_LoneDruid_SpiritBear"					"Spirit Bear"
		"LoadoutSlot_NaturesProphet_Treants"				"Treantit"
		"LoadoutSlot_Pugna_NetherWard"						"Nether Ward"
		"LoadoutSlot_ShadowShaman_SerpentWards"				"Serpent Wardit"
		"LoadoutSlot_Techies_Cart"							"Kärry"
		"LoadoutSlot_Techies_Bazooka"						"Sinko"
		"LoadoutSlot_Techies_Squee"							"Squee"
		"LoadoutSlot_Techies_Spoon"							"Spoon"
		"LoadoutSlot_Techies_Spleen"						"Spleen"
		"LoadoutSlot_Techies_RemoteMines"					"Kaukomiinat"
		"LoadoutSlot_TerrorBlade_Demon"						"Demoni"
		"LoadoutSlot_TrollWarlord_OffHand_Weapon_Melee"		"Tukikäden lähitaisteluase"
		"LoadoutSlot_TrollWarlord_Weapon_Melee"				"Lähitaisteluase"
		"LoadoutSlot_Tusk_Tusks"							"Syöksyhampaat"
		"LoadoutSlot_Tusk_Fist"								"Nyrkki"
		"LoadoutSlot_Tusk_FrozenSigil"						"Frozen Sigil"
		"LoadoutSlot_Undying_Tombstone"						"Hautakivi"
		"LoadoutSlot_Undying_Flesh_Golem"					"Flesh Golem"
		"LoadoutSlot_Venomancer_StingerLimbs"				"Pistimet"
		"LoadoutSlot_Venomancer_PlagueWard"					"Plague Wards"
		"LoadoutSlot_Warlock_Golem"							"Golem"
		"LoadoutSlot_Warlock_Lantern"						"Lyhty"
		"LoadoutSlot_Warlock_EvilPurse"						"Pahuuspussi"
		"LoadoutSlot_Weaver_Antennae"						"Tuntosarvet"
		"LoadoutSlot_WitchDoctor_DeathWard"					"Death Ward"
		"LoadoutSlot_Techies_Sign"							"Kyltti"
		"LoadoutSlot_Jakiro_Head_Left"						"Vasen pää"
		"LoadoutSlot_Jakiro_Head_Right"						"Oikea pää"
	

		// Item Editor // Workshop Tools

		"DOTA_Workshop_AmbientLight"							"Taustavalo"
		"DOTA_Workshop_AmbientLightScale"						"Taustavalon kirkkaus"
		"DOTA_Workshop_Automate"								"Valmistuu automaattisesti"
		"DOTA_Workshop_CloneCamera"								"Kopioi kameranäkymä"
		"DOTA_Workshop_Copy"								    "Kopioi"
		"DOTA_Workshop_PasteAll"								"Liitä kaikki"
		"DOTA_Workshop_PasteVisuals"							"Liitä visuaaliset elementit"
		"DOTA_Workshop_BackgroundColor"                         "Taustaväri"
		"DOTA_Workshop_BackgroundTexture"                       "Taustan tekstuuri"
		"DOTA_Workshop_Camera"                                  "Kamera"
		"DOTA_Workshop_CameraRoll"                              "Kameran kuvat"
		"DOTA_Workshop_CameraFOV"                               "Kameran näkökenttä"
		"DOTA_Workshop_CameraFarZ"                              "Kamera (FarZ)"
		"DOTA_Workshop_EditAngles"                              "Muokkaa kulmia"
		"DOTA_Workshop_EditAttachments"                         "Muokkaa liitteitä"
		"DOTA_Workshop_EditGeneric"                             "Esikatselumalli"
		"DOTA_Workshop_EditOrigin"                              "Muokkaa alkuperäistä"
		"DOTA_Workshop_EditTarget"                              "Muokkaa kohdetta"
		"DOTA_Workshop_EditPortrait"                            "Muokkaa muotokuvaa"
		"DOTA_Workshop_GameDay"                                 "Päivä"
		"DOTA_Workshop_GameNight"                               "Yö"
		"DOTA_Workshop_ImportError"                             "Tuontivirhe"
		"DOTA_Workshop_ImportLog"                               "Tuontiloki"
