"lang"
{
	"Language"		"greek"
		"ItemHistory_Action_Market_Remove"								"Καταχωρήθηκε στην αγορά κοινότητας Steam"
		"ItemHistory_Action_MarketBuyback_Remove"						"Αφαιρέθηκε από επαναγορά αγοράς"
		"ItemHistory_Action_ManualItemConvertOperation_OldItem"			"Μετατράπηκε"
		"ItemHistory_Action_ItemConsume"								"Καταναλώθηκε"
		"ItemHistory_Action_FantasyTicketConsume"						"Χρησιμοποιήθηκε"
		"ItemHistory_Action_WeekendTourneyTicket_Consume"				"Χρησιμοποιήθηκε"
		"ItemHistory_Action_PlayerCardDust"								"Ενοποιήθηκε σε ένα αντικείμενο"
		"ItemHistory_Action_GSCreate"									"Χορηγήθηκε από το διακομιστή παιχνιδιού που παίζατε"
		"ItemHistory_Action_AwardAchievement"							"Ξεκλειδώθηκε ολοκληρώνοντας ένα επίτευγμα"
		"ItemHistory_Action_QuantityChanged"							"Χρησιμοποιήθηκε"
		"ItemHistory_Action_AwardTime"									"Βρέθηκε"
		"ItemHistory_Action_ManualCreate"								"Δημιουργήθηκε από Υποστήριξη Steam"
		"ItemHistory_Action_Drop"										"Βρέθηκε"
		"ItemHistory_Action_Purchase"									"Αγοράστηκε από το κατάστημα"
		"ItemHistory_Action_AutoGrantItem"								"Κερδήθηκε"
		"ItemHistory_Action_CrossGameAchievement"						"Αποκτήθηκε από ξεκλείδωμα επιτεύγματος σε ένα διαφορετικό παιχνίδι"
		"ItemHistory_Action_AwardGift_Receiver"							"Λήφθηκε ένα δώρο"
		"ItemHistory_Action_AwardStorePromotionItem"					"Αγοράστηκε από το κατάστημα"
		"ItemHistory_Action_EarnedItem"									"Κερδήθηκε"
		"ItemHistory_Action_AwardThirdPartyPromo"						"Κερδήθηκε ένα προωθητικό αντικείμενο"
		"ItemHistory_Action_SteamWorkshopContributor"					"Κερδήθηκε συνεισφέροντας στο εργαστήρι Steam"
		"ItemHistory_Action_GiftDelivery_Add"							"Λήφθηκε ένα δώρο"
		"ItemHistory_Action_GiftDelivery_Add_WithPartner"				"Λήφθηκε ένα δώρο από %partner%"
		"ItemHistory_Action_PackageItem"								"Κέρδισε ένα προωθητικό αντικείμενο"
		"ItemHistory_Action_CDKeyGrant"									"Αποκτήθηκε από εισαγωγή κωδικού προϊόντος"
		"ItemHistory_Action_AwardXP"									"Ανταμοιβή για αύξηση επιπέδου"
		"ItemHistory_Action_UnpackItems"								"Ξεπακεταρίστηκε από ένα πακέτο"
		"ItemHistory_Action_TutorialDrop"								"Ανταμοιβή για ολοκλήρωση της εκμάθησης"
		"ItemHistory_Action_FantasyTicketRefund"						"Επιστράφηκαν χρήματα"
		"ItemHistory_Action_AdditionalDrop"								"Βρέθηκε"
		"ItemHistory_Action_Market_Add"									"Λήφθηκε από την αγορά κοινότητας Steam"
		"ItemHistory_Action_UseItem_Rollback_NewItem"					"Αποτυχία χρήσης ενός αντικειμένου. Το αντικείμενο επαναφέρθηκε."
		"ItemHistory_Action_CreatedByManualItemRecreateOperation"		"Δημιουργήθηκε από Υποστήριξη Steam"
		"ItemHistory_Action_EventWon"									"Κερδήθηκε σε ένα συμβάν"
		"ItemHistory_Action_TournamentDrop"								"Έλαβε ένα βραβείο ενώ παρακολουθούσε ένα τουρνουά"
		"ItemHistory_Action_DiretideReward"								"Έλαβε ένα τουρνουά κατά το συμβάν Diretide"
		"ItemHistory_Action_EventPointLevel"							"Έλαβε μια ανταμοιβή compendium"
		"ItemHistory_Action_PerfectWorldPromo"							"Κερδήθηκε ένα προωθητικό αντικείμενο"
		"ItemHistory_Action_VictoryPredictionReward"					"Κερδήθηκε μια ανταμοιβή για μια σωστή πρόβλεψη στο compendium"
		"ItemHistory_Action_AssassinMinigameDrop"						"Αποκτήθηκε από συμμετοχή στο συμβάν Nemesis Assassins"
		"ItemHistory_Action_WeekendTourneyTicket_Refund"				"Επιστράφηκαν χρήματα"
		"ItemHistory_Action_PlayerCardPackFromDust"						"Ανταλλάχθηκε σκόνη για ένα πακέτο καρτών"
		"ItemHistory_Action_WeekendTourneyChampionsCupTicketEarned"		"Κερδήθηκε"
		"ItemHistory_Action_EventPointPurchase"							"Αγοράστηκε με πόντους"
		"ItemHistory_Action_SeasonalItemGrant"							"Χορήγηση αντικειμένου συνδρομής/εποχιακού"

		

		"ItemHistory_Transaction_Delete"								"Εσείς διαγράψατε"
		"ItemHistory_Transaction_Craft"									"Κατασκευάστηκε"
		"ItemHistory_Transaction_UnlockCrate"							"Ανοίχθηκε ένας θησαυρός"
		"ItemHistory_Transaction_SupportUndo"							"Η Υποστήριξη Steam αναίρεσε μία ή περισσότερες από τις προηγούμενες ενέργειές σας"
		"ItemHistory_Transaction_StrangePart"							"Εφαρμόστηκε ένας παράξενος τροποποιητής"
		"ItemHistory_Transaction_ConsumeItem_Complete"					"Ολοκληρώθηκε συνταγή"
		"ItemHistory_Transaction_RemoveItemCraftIndex"					"Αφαιρέθηκε δείκτης κατασκευής"
		"ItemHistory_Transaction_Autographed"							"Προσαρμόστηκε αυτόγραφο"
		"ItemHistory_Transaction_PurchaseFinalized"						"Ολοκληρώθηκε αγορά"
		"ItemHistory_Transaction_Recycled"								"Ανακυκλώθηκε"
		"ItemHistory_Transaction_PennantUpgrade"						"Αναβαθμίστηκε το επίπεδο ενός λάβαρου"
		"ItemHistory_Transaction_ApplyEssence"							"Εμφυσήθηκε ένα αυγό με ουσία"
		"ItemHistory_Transaction_OpenPlayerCardPack"					"Ανοίχθηκε ένα πακέτο καρτών παικτών"
		"ItemHistory_Transaction_PlayerCardRecycle"						"Ανακυκλώθηκε σε σκόνη"

		"ItemHistory_ItemIsInInventory"		"Στη λίστα αντικειμένων σας"
		"ItemHistory_ItemIsSubscription"	"Αντικείμενο συνδρομής"

		// Game states
		"EGameState_Intro"	"Εισαγωγή"
		"EGameState_Playing"	"Παίζει"
		"EGameState_GameOver"	"ΤΕΛΟΣ ΠΑΙΧΝΙΔΙΟΥ"

		// Round States
		"ERoundState_Preparing"	"ΕΤΟΙΜΑΣΙΑ"
		"ERoundState_Ready"		"ΕΤΟΙΜΟΙ"
		"ERoundState_Combat"	"ΜΑΧΗ"
		"ERoundState_RoundOver"	"ΕΚΚΙΝΗΣΗ"
		"GAME_FLOW_STEP_POST_COMBAT" "ΟΛΟΚΛΗΡΩΣΗ"
		"DAC_Looting"			"ΑΠΟΚΤΗΣΗ"

		"dac_creep_wave_1"		"ΖΕΣΤΑΜΑ"
		"dac_creep_wave_2"		"ΑΨΙΜΑΧΙΑ"
		"dac_creep_wave_3"		"ΓΕΝΙΚΗ ΠΡΟΒΑ"
		"dac_creep_wave_4"		"ΠΡΩΤΟ ΔΙΑΛΕΙΜΜΑ"
		"dac_creep_wave_5"		"ΔΙΑΓΩΝΙΣΜΟΣ ΣΚΥΛΩΝ"
		"dac_creep_wave_6"		"ΑΡΚΟΥΔΟΠΑΓΙΔΑ!"
		"dac_creep_wave_7"		"ΕΠΙΒΙΩΣΗ ΤΟΥ ΙΣΧΥΡΟΥ"
		"dac_creep_wave_8"		"ΜΕΓΑΛΟΙ ΔΕΙΝΟΣΑΥΡΟΙ"
		"dac_creep_wave_9"		"Η ΘΕΡΜΟΚΡΑΣΙΑ ΑΝΕΒΑΙΝΕΙ"
		"dac_creep_wave_10"		"ΤΡΟΛΑΡΙΣΜΑ"
		"dac_creep_wave_11"		"ΤΕΛΕΥΤΑΙΑ ΠΡΑΞΗ"
		"dac_creep_wave_12"		"ΔΙΟΡΘΩΣΗ, ΤΩΡΑ ΕΙΝΑΙ Η ΤΕΛΕΥΤΑΙΑ ΠΡΑΞΗ"


		"default_item"						"Βάση"
		
		//Hero Names
		"npc_dota_hero_none"				"--"
		"npc_dota_hero_queenofpain"			"Queen of Pain"
		"npc_dota_hero_antimage"			"Anti-Mage"
		"npc_dota_hero_kunkka"				"Kunkka"
		"npc_dota_hero_lina"				"Lina"
		"npc_dota_hero_mirana"				"Mirana"
		"npc_dota_hero_slardar"				"Slardar"
		"npc_dota_hero_lion"				"Lion"
		"npc_dota_hero_phantom_assassin"	"Phantom Assassin"
		"npc_dota_hero_tidehunter"			"Tidehunter"
		"npc_dota_hero_witch_doctor"		"Witch Doctor"
		"npc_dota_hero_vengefulspirit"		"Vengeful Spirit"
		"npc_dota_hero_juggernaut"			"Juggernaut"
		"npc_dota_hero_earthshaker"			"Earthshaker"
		"npc_dota_hero_pudge"				"Pudge"
		"npc_dota_hero_bane"				"Bane"
		"npc_dota_hero_crystal_maiden"		"Crystal Maiden"
		"npc_dota_hero_sven"				"Sven"
		"npc_dota_hero_skeleton_king"		"Wraith King"
		"npc_dota_hero_storm_spirit"		"Storm Spirit"
		"npc_dota_hero_sand_king"			"Sand King"
		"npc_dota_hero_nevermore"			"Shadow Fiend"
		"npc_dota_hero_drow_ranger"			"Drow Ranger"
		"npc_dota_hero_axe"					"Axe"
		"npc_dota_hero_bloodseeker"			"Bloodseeker"
		"npc_dota_hero_phantom_lancer"		"Phantom Lancer"
		"npc_dota_hero_razor"				"Razor"
		"npc_dota_hero_morphling"			"Morphling"
		"npc_dota_hero_zuus"				"Zeus"
		"npc_dota_hero_tiny"				"Tiny"
		"npc_dota_hero_puck"				"Puck"
		"npc_dota_hero_windrunner"			"Windranger"
		"npc_dota_hero_lich"				"Lich"
		"npc_dota_hero_shadow_shaman"		"Shadow Shaman"
		"npc_dota_hero_riki"				"Riki"
		"npc_dota_hero_enigma"				"Enigma"
		"npc_dota_hero_tinker"				"Tinker"
		"npc_dota_hero_sniper"				"Sniper"
		"npc_dota_hero_necrolyte"			"Necrophos"
		"npc_dota_hero_warlock"				"Warlock"
		"npc_dota_hero_beastmaster"			"Beastmaster"
		"npc_dota_hero_venomancer"			"Venomancer"
		"npc_dota_hero_faceless_void"		"Faceless Void"
		"npc_dota_hero_death_prophet"		"Death Prophet"
		"npc_dota_hero_pugna"				"Pugna"
		"npc_dota_hero_templar_assassin"	"Templar Assassin"
		"npc_dota_hero_viper"				"Viper"
		"npc_dota_hero_luna"				"Luna"
		"npc_dota_hero_dragon_knight"		"Dragon Knight"
		"npc_dota_hero_dazzle"				"Dazzle"
		"npc_dota_hero_rattletrap"			"Clockwerk"
		"npc_dota_hero_leshrac"				"Leshrac"
		"npc_dota_hero_furion"				"Nature's Prophet"
		"npc_dota_hero_life_stealer"		"Lifestealer"
		"npc_dota_hero_dark_seer"			"Dark Seer"
		"npc_dota_hero_clinkz"				"Clinkz"
		"npc_dota_hero_omniknight"			"Omniknight"
		"npc_dota_hero_enchantress"			"Enchantress"
		"npc_dota_hero_huskar"				"Huskar"
		"npc_dota_hero_night_stalker"		"Night Stalker"
		"npc_dota_hero_broodmother"			"Broodmother"
		"npc_dota_hero_bounty_hunter"		"Bounty Hunter"
		"npc_dota_hero_weaver"				"Weaver"
		"npc_dota_hero_jakiro"				"Jakiro"
		"npc_dota_hero_batrider"			"Batrider"
		"npc_dota_hero_chen"				"Chen"
		"npc_dota_hero_spectre"				"Spectre"
		"npc_dota_hero_doom_bringer"		"Doom"
		"npc_dota_hero_ancient_apparition"	"Ancient Apparition"
		"npc_dota_hero_ursa"				"Ursa"
		"npc_dota_hero_spirit_breaker"		"Spirit Breaker"
		"npc_dota_hero_gyrocopter"			"Gyrocopter"
		"npc_dota_hero_alchemist"			"Alchemist"
		"npc_dota_hero_invoker"				"Invoker"
		"npc_dota_hero_silencer"			"Silencer"
		"npc_dota_hero_obsidian_destroyer"	"Outworld Devourer"
		"npc_dota_hero_lycan"				"Lycan"
		"npc_dota_hero_brewmaster"			"Brewmaster"
		"npc_dota_hero_shadow_demon"		"Shadow Demon"
		"npc_dota_hero_lone_druid"			"Lone Druid"
		"npc_dota_hero_chaos_knight"		"Chaos Knight"
		"npc_dota_hero_treant"				"Treant Protector"
		"npc_dota_hero_meepo"				"Meepo"
		"npc_dota_hero_ogre_magi"			"Ogre Magi"
		"npc_dota_hero_undying"				"Undying"
		"npc_dota_hero_rubick"				"Rubick"
		"npc_dota_hero_disruptor"			"Disruptor"
		"npc_dota_hero_nyx_assassin"		"Nyx Assassin"
		"npc_dota_hero_naga_siren"			"Naga Siren"
		"npc_dota_hero_keeper_of_the_light"	"Keeper of the Light"
		"npc_dota_hero_visage"				"Visage"
		"npc_dota_hero_wisp"				"Io"
		"npc_dota_hero_slark"				"Slark"
		"npc_dota_hero_medusa"				"Medusa"
		"npc_dota_hero_troll_warlord"		"Troll Warlord"
		"npc_dota_hero_centaur"				"Centaur Warrunner"
		"npc_dota_hero_magnataur"			"Magnus"
		"npc_dota_hero_shredder"			"Timbersaw"
		"npc_dota_hero_bristleback"			"Bristleback"
		"npc_dota_hero_tusk"				"Tusk"
		"npc_dota_hero_skywrath_mage"		"Skywrath Mage"
		"npc_dota_hero_abaddon"				"Abaddon"
		"npc_dota_hero_elder_titan"			"Elder Titan"
		"npc_dota_hero_legion_commander"	"Legion Commander"
		"npc_dota_hero_ember_spirit"		"Ember Spirit"
		"npc_dota_hero_earth_spirit"		"Earth Spirit"
		"npc_dota_hero_abyssal_underlord"	"Underlord"
		"npc_dota_hero_phoenix"				"Phoenix"
		"npc_dota_hero_terrorblade"			"Terrorblade"
		"npc_dota_hero_oracle"				"Oracle"
		"npc_dota_hero_techies"				"Techies"
		"npc_dota_hero_target_dummy"		"Κούκλα στόχων"
		"npc_dota_hero_winter_wyvern"		"Winter Wyvern"
		"npc_dota_hero_arc_warden"			"Arc Warden"
		"npc_dota_hero_monkey_king"			"Monkey King"
		"npc_dota_hero_pangolier"			"Pangolier"
		"npc_dota_hero_dark_willow"			"Dark Willow"
		"npc_dota_hero_grimstroke"			"Grimstroke"
		"npc_dota_hero_mars"				"Mars"

		
		// Quality
		"base"							"Βάση"
		
		
		// Loadout Slots
		"LoadoutSlot_None"									"Μ/Δ"
		"LoadoutSlot_Weapon"								"Όπλο"
		"LoadoutSlot_OffHand_Weapon"						"Εναλλακτικό όπλο"
		"LoadoutSlot_Head"									"Κεφάλι"
		"LoadoutSlot_Shoulder"								"Ώμος"
		"LoadoutSlot_Arms"									"Χέρια"
		"LoadoutSlot_Armor"									"Θωράκιση"
		"LoadoutSlot_Belt"									"Ζώνη"
		"LoadoutSlot_Back"									"Πλάτη"
		"LoadoutSlot_Neck"									"Λαιμός"
		"LoadoutSlot_Legs"									"Πόδια"
		"LoadoutSlot_Gloves"								"Γάντια"
		"LoadoutSlot_Tail"									"Ουρά"
		"LoadoutSlot_Taunt"									"Χλευασμός"
		"LoadoutSlot_Emblem"								"Έμβλημα"
		"LoadoutSlot_Courier"								"Μεταφορέας"
		"LoadoutSlot_Announcer"								"Εκφωνητής"
		"LoadoutSlot_Heroic_Statue"							"Ηρωικό ομοίωμα"
		"LoadoutSlot_Mega_Kills"							"Εκφωνητής σκοτωμών"
		"LoadoutSlot_Fan"									"Βεντάλια"
		"LoadoutSlot_Action_Item"							"Αντικείμενο δράσης"
		"LoadoutSlot_Fan_Item"								"Αντικείμενο οπαδού"
		"LoadoutSlot_Weather"								"Καιρός"
		"LoadoutSlot_Terrain"								"Πεδίο μάχης"
		"LoadoutSlot_MultiKill_Banner"						"Λάβαρο πολλαπλών σκοτωμών"
		"LoadoutSlot_Music"									"Μουσική"
		"LoadoutSlot_Ability_Attack"						"Προεπιλεγμένη επίθεση"
		"LoadoutSlot_Ability1"								"Ικανότητα 1"
		"LoadoutSlot_Ability2"								"Ικανότητα 2"
		"LoadoutSlot_Ability3"								"Ικανότητα 3"
		"LoadoutSlot_Ability4"								"Ικανότητα 4"
		"LoadoutSlot_AbilityUltimate"						"Απόλυτη"
		"LoadoutSlot_Ability_Ultimate"						"Απόλυτη"
		"LoadoutSlot_Body_Head"								"Σώμα - Κεφάλι"
		"LoadoutSlot_Mount"									"Υποζύγιο"
		"LoadoutSlot_Custom_Hex"							"Εφέ μεταμόρφωσης"
		"LoadoutSlot_Misc"									"Λοιπά"
		"LoadoutSlot_Summon"								"Κλητευμένη μονάδα"
		"LoadoutSlot_ward"									"Ματάκι"
		"LoadoutSlot_hud_skin"								"Εμφάνιση διεπαφής"
		"LoadoutSlot_Shapeshift"							"Μορφή λύκου"
		"LoadoutSlot_Wolves"								"Λύκοι"
		"LoadoutSlot_loading_screen"						"Εικόνα φόρτωσης"
		"LoadoutSlot_Elder_Dragon"							"Μορφή δράκου"
		"LoadoutSlot_Head_Accessory"						"Κεφάλι"
		"LoadoutSlot_Shield"								"Ασπίδα"
		"LoadoutSlot_Wings"									"Φτερά"
		"LoadoutSlot_Quiver"								"Φαρέτρα"
		"LoadoutSlot_Beard"									"Γένια"
		"LoadoutSlot_Heads"									"Κεφάλια"
		"LoadoutSlot_LeftArm"								"Αριστερό χέρι"
		"LoadoutSlot_RightArm"								"Δεξί χέρι"
		"LoadoutSlot_Body"									"Σώμα"
		"LoadoutSlot_Claws"									"Νύχια"
		"LoadoutSlot_ambient_effects"						"Εφέ περιβάλλοντος"
		"LoadoutSlot_cursor_pack"							"Πακέτο κερσόρων"
		"LoadoutSlot_teleport_effect"						"Εφέ τηλεμεταφοράς"
		"LoadoutSlot_blink_effect"							"Εφέ Blink Dagger"
		"LoadoutSlot_Voice"									"Φωνή"
 		"LoadoutSlot_Pet"									"Κατοικίδιο"
		"LoadoutSlot_Visage_Familiar"						"Πτηνά"
		"LoadoutSlot_Phoenix_Supernova"						"Supernova"
		"LoadoutSlot_Radiant_Creeps"						"Μονάδες Radiant"
		"LoadoutSlot_Dire_Creeps"							"Μονάδες Dire"

		//Hero Loadoutslots
		"LoadoutSlot_Alchemist_TinyArmor"					"Μικρή θωράκιση"
		"LoadoutSlot_Alchemist_Flask"						"Φλασκί"
		"LoadoutSlot_Alchemist_TinyHead"					"Μικρό κεφάλι"
		"LoadoutSlot_Beastmaster_Hawk"						"Γεράκι"
		"LoadoutSlot_Beastmaster_Boar"						"Κάπρος"
		"LoadoutSlot_Brewmaster_Barrel"						"Βαρέλι"
		"LoadoutSlot_Brewmaster_Shoulder"					"Θωράκιση"
		"LoadoutSlot_Broodmother_Spiderling"				"Αραχνίδιο"
		"LoadoutSlot_Clockwerk_Rocket"						"Φωτοβολίδα"
		"LoadoutSlot_Clockwerk_Cogs"						"Γρανάζια"
		"LoadoutSlot_Death_Spirits"							"Πνεύματα"
		"LoadoutSlot_EarthSpirit_StoneRemnant"				"Πέτρινο είδωλο"
		"LoadoutSlot_Earthshaker_Totem"						"Τοτέμ"
		"LoadoutSlot_ElderTitan_AstralSpirit"				"Αστρικό πνεύμα"
		"LoadoutSlot_Enigma_Eidolons"						"Είδωλα"
		"LoadoutSlot_Gyrocopter_Guns"						"Όπλα"
		"LoadoutSlot_Gyrocopter_Propeller"					"Προπέλα"
		"LoadoutSlot_Gyrocopter_MissileCompartment"			"Θάλαμος πυραύλου"
		"LoadoutSlot_Gyrocopter_HomingMissile"				"Τηλεκ. πύραυλος"
		"LoadoutSlot_Invoker_ForgeSpirit"					"Πνεύμα"
		"LoadoutSlot_Juggernaut_HealingWard"				"Θεραπευτικό τοτέμ"
