"lang"
{
	"Language"		"bulgarian"
		"ItemHistory_Action_SteamWorkshopContributor"					"Придобито поради това, че сте сътрудник в Steam работилница"
		"ItemHistory_Action_GiftDelivery_Add"							"Получен подарък"
		"ItemHistory_Action_GiftDelivery_Add_WithPartner"				"Получен подарък от %partner%"
		"ItemHistory_Action_PackageItem"								"Придобит промоционален артикул"
		"ItemHistory_Action_CDKeyGrant"									"Получено от въвеждане на продуктов код"
		"ItemHistory_Action_AwardXP"									"Връчено за повишаване на ниво"
		"ItemHistory_Action_UnpackItems"								"Разопаковано от комплект"
		"ItemHistory_Action_TutorialDrop"								"Връчено за завършване на обучението"
		"ItemHistory_Action_FantasyTicketRefund"						"Възстановено"
		"ItemHistory_Action_AdditionalDrop"								"Намерено"
		"ItemHistory_Action_Market_Add"									"Получено от обществения Steam пазар"
		"ItemHistory_Action_UseItem_Rollback_NewItem"					"Неуспешно използване на даден артикул. Той беше възвърнат."
		"ItemHistory_Action_CreatedByManualItemRecreateOperation"		"Създадено от Steam поддръжката"
		"ItemHistory_Action_EventWon"									"Спечелено в събитие"
		"ItemHistory_Action_TournamentDrop"								"Получена награда по време на наблюдаван турнир"
		"ItemHistory_Action_DiretideReward"								"Получена награда по време на събитието Diretide"
		"ItemHistory_Action_EventPointLevel"							"Получена награда от Compendium"
		"ItemHistory_Action_PerfectWorldPromo"							"Придобит промоционален артикул"
		"ItemHistory_Action_VictoryPredictionReward"					"Получена награда за направа на правилна прогноза във Вашия Compendium"
		"ItemHistory_Action_AssassinMinigameDrop"						"Придобито от участие в събитието Nemesis Assassins"
		"ItemHistory_Action_WeekendTourneyTicket_Refund"				"Възстановено"
		"ItemHistory_Action_PlayerCardPackFromDust"						"Обменен прах за колода от карти"
		"ItemHistory_Action_WeekendTourneyChampionsCupTicketEarned"		"Придобито"
		"ItemHistory_Action_EventPointPurchase"							"Закупено с точки"
		"ItemHistory_Action_SeasonalItemGrant"							"Предоставяне на абонаментен/сезонен артикул"

		

		"ItemHistory_Transaction_Delete"								"Изтрихте"
		"ItemHistory_Transaction_Craft"									"Изработено"
		"ItemHistory_Transaction_UnlockCrate"							"Отворено е съкровище"
		"ItemHistory_Transaction_SupportUndo"							"Steam поддръжката отмени едно или повече от предходните Ви действия"
		"ItemHistory_Transaction_StrangePart"							"Приложен странен модификатор"
		"ItemHistory_Transaction_ConsumeItem_Complete"					"Завършена рецепта"
		"ItemHistory_Transaction_RemoveItemCraftIndex"					"Премахнат индекс за изработване"
		"ItemHistory_Transaction_Autographed"							"Прикачен автограф"
		"ItemHistory_Transaction_PurchaseFinalized"						"Покупката е финализирана"
		"ItemHistory_Transaction_Recycled"								"Рециклирано"
		"ItemHistory_Transaction_PennantUpgrade"						"Подобрено ниво на емблема"
		"ItemHistory_Transaction_ApplyEssence"							"Изпълнено с есенция яйце"
		"ItemHistory_Transaction_OpenPlayerCardPack"					"Отворена е колода от карти с играчи"
		"ItemHistory_Transaction_PlayerCardRecycle"						"Рециклирано в прах"

		"ItemHistory_ItemIsInInventory"		"В инвентара Ви"
		"ItemHistory_ItemIsSubscription"	"Абонаментен артикул"

		// Game states
		"EGameState_Intro"	"Увод"
		"EGameState_Playing"	"Играе"
		"EGameState_GameOver"	"Край на играта"

		// Round States
		"ERoundState_Preparing"	"Подготвяне"
		"ERoundState_Ready"		"Готово"
		"ERoundState_Combat"	"Сражение"
		"ERoundState_RoundOver"	"Стартиране"
		"GAME_FLOW_STEP_POST_COMBAT" "Резолюция"
		"DAC_Looting"			"Плячкосване"

		"dac_creep_wave_1"		"Загрявка"
		"dac_creep_wave_2"		"Спаринг мач"
		"dac_creep_wave_3"		"Екипирайте се"
		"dac_creep_wave_4"		"Първи антракт"
		"dac_creep_wave_5"		"Циркаджийско представление"
		"dac_creep_wave_6"		"Капан с мечки!"
		"dac_creep_wave_7"		"Естествен подбор"
		"dac_creep_wave_8"		"Динозавърски награди"
		"dac_creep_wave_9"		"Ситуацията се разгорещява"
		"dac_creep_wave_10"		"Предстои Ви да се сблъскате с тролове"
		"dac_creep_wave_11"		"Достигнахме края на играта"
		"dac_creep_wave_12"		"Корекция, СЕГА ВЕЧЕ достигнахме края на играта"


		"default_item"						"Базово"
		
		//Hero Names
		"npc_dota_hero_none"				"—"
		"npc_dota_hero_queenofpain"			"Кралицата на болката"
		"npc_dota_hero_antimage"			"Анти-маг"
		"npc_dota_hero_kunkka"				"Кунка"
		"npc_dota_hero_lina"				"Лина"
		"npc_dota_hero_mirana"				"Мирана"
		"npc_dota_hero_slardar"				"Слардар"
		"npc_dota_hero_lion"				"Леон"
		"npc_dota_hero_phantom_assassin"	"Фантомната убийца"
		"npc_dota_hero_tidehunter"			"Приливният ловец"
		"npc_dota_hero_witch_doctor"		"Знахарят"
		"npc_dota_hero_vengefulspirit"		"Отмъстителният дух"
		"npc_dota_hero_juggernaut"			"Непреодолимият"
		"npc_dota_hero_earthshaker"			"Земетръс"
		"npc_dota_hero_pudge"				"Дундьо"
		"npc_dota_hero_bane"				"Напастта"
		"npc_dota_hero_crystal_maiden"		"Кристалната девица"
		"npc_dota_hero_sven"				"Свен"
		"npc_dota_hero_skeleton_king"		"Призрачният крал"
		"npc_dota_hero_storm_spirit"		"Бурният дух"
		"npc_dota_hero_sand_king"			"Пясъчният крал"
		"npc_dota_hero_nevermore"			"Сенчестият злодей"
		"npc_dota_hero_drow_ranger"			"Дроу рейнджърката"
		"npc_dota_hero_axe"					"Палачът"
		"npc_dota_hero_bloodseeker"			"Кръвотърсачът"
		"npc_dota_hero_phantom_lancer"		"Фантомният копиеносец"
		"npc_dota_hero_razor"				"Бръсначът"
		"npc_dota_hero_morphling"			"Морфлинг"
		"npc_dota_hero_zuus"				"Зевс"
		"npc_dota_hero_tiny"				"Дребосъчето"
		"npc_dota_hero_puck"				"Пакостничето"
		"npc_dota_hero_windrunner"			"Ветровитата рейнджърка"
		"npc_dota_hero_lich"				"Лич"
		"npc_dota_hero_shadow_shaman"		"Сенчестият шаман"
		"npc_dota_hero_riki"				"Рики"
		"npc_dota_hero_enigma"				"Енигма"
		"npc_dota_hero_tinker"				"Нескопосникът"
		"npc_dota_hero_sniper"				"Снайперистът"
		"npc_dota_hero_necrolyte"			"Некрофос"
		"npc_dota_hero_warlock"				"Вещерът"
		"npc_dota_hero_beastmaster"			"Повелителят на зверовете"
		"npc_dota_hero_venomancer"			"Отровителят"
		"npc_dota_hero_faceless_void"		"Безличната празнота"
		"npc_dota_hero_death_prophet"		"Пророчицата на смъртта"
		"npc_dota_hero_pugna"				"Свадливецът"
		"npc_dota_hero_templar_assassin"	"Тамплиерката убиец"
		"npc_dota_hero_viper"				"Пепелянката"
		"npc_dota_hero_luna"				"Луна"
		"npc_dota_hero_dragon_knight"		"Драконовият рицар"
		"npc_dota_hero_dazzle"				"Поразителният"
		"npc_dota_hero_rattletrap"			"Часовникарят"
		"npc_dota_hero_leshrac"				"Лешрак"
		"npc_dota_hero_furion"				"Природният пророк"
		"npc_dota_hero_life_stealer"		"Крадецът на животи"
		"npc_dota_hero_dark_seer"			"Мрачният ясновидец"
		"npc_dota_hero_clinkz"				"Клинкз"
		"npc_dota_hero_omniknight"			"Всеведущият рицар"
		"npc_dota_hero_enchantress"			"Чародейката"
		"npc_dota_hero_huskar"				"Хускар"
		"npc_dota_hero_night_stalker"		"Нощният преследвач"
		"npc_dota_hero_broodmother"			"Майката на люпилото"
		"npc_dota_hero_bounty_hunter"		"Ловецът на глави"
		"npc_dota_hero_weaver"				"Тъкачът"
		"npc_dota_hero_jakiro"				"Джакиро"
		"npc_dota_hero_batrider"			"Прилеповият ездач"
		"npc_dota_hero_chen"				"Чен"
		"npc_dota_hero_spectre"				"Привидението"
		"npc_dota_hero_doom_bringer"		"Вестителят на гибелта"
		"npc_dota_hero_ancient_apparition"	"Античното привидение"
		"npc_dota_hero_ursa"				"Урса"
		"npc_dota_hero_spirit_breaker"		"Обезкуражаващият"
		"npc_dota_hero_gyrocopter"			"Жирокоптер"
		"npc_dota_hero_alchemist"			"Алхимикът"
		"npc_dota_hero_invoker"				"Заклинателят"
		"npc_dota_hero_silencer"			"Заглушителят"
		"npc_dota_hero_obsidian_destroyer"	"Чуждоземният поглъщач"
		"npc_dota_hero_lycan"				"Ликантроп"
		"npc_dota_hero_brewmaster"			"Повелителят на пивото"
		"npc_dota_hero_shadow_demon"		"Сенчестият демон"
		"npc_dota_hero_lone_druid"			"Самотният друид"
		"npc_dota_hero_chaos_knight"		"Рицарят на хаоса"
		"npc_dota_hero_treant"				"Дървесният защитник"
		"npc_dota_hero_meepo"				"Мийпо"
		"npc_dota_hero_ogre_magi"			"Огре маг"
		"npc_dota_hero_undying"				"Неумиращият"
		"npc_dota_hero_rubick"				"Рубик"
		"npc_dota_hero_disruptor"			"Разрушителният"
		"npc_dota_hero_nyx_assassin"		"Убиецът Никс"
		"npc_dota_hero_naga_siren"			"Сирената Нага"
		"npc_dota_hero_keeper_of_the_light"	"Пазителят на светлината"
		"npc_dota_hero_visage"				"Визаж"
		"npc_dota_hero_wisp"				"Йо"
		"npc_dota_hero_slark"				"Сларк"
		"npc_dota_hero_medusa"				"Медуза"
		"npc_dota_hero_troll_warlord"		"Тролът военачалник"
		"npc_dota_hero_centaur"				"Кентавърът военнокомандващ"
		"npc_dota_hero_magnataur"			"Магнус"
		"npc_dota_hero_shredder"			"Дърворезачът"
		"npc_dota_hero_bristleback"			"Шипогръбестият"
		"npc_dota_hero_tusk"				"Бивникът"
		"npc_dota_hero_skywrath_mage"		"Магът на небесния гняв"
		"npc_dota_hero_abaddon"				"Абадон"
		"npc_dota_hero_elder_titan"			"Титанът старейшина"
		"npc_dota_hero_legion_commander"	"Легионерски командир"
		"npc_dota_hero_ember_spirit"		"Жаркият дух"
		"npc_dota_hero_earth_spirit"		"Земният дух"
		"npc_dota_hero_abyssal_underlord"	"Подземният лорд"
		"npc_dota_hero_phoenix"				"Феникс"
		"npc_dota_hero_terrorblade"			"Острието на терора"
		"npc_dota_hero_oracle"				"Оракулът"
		"npc_dota_hero_techies"				"Техничарите"
		"npc_dota_hero_target_dummy"		"Бутафорна цел"
		"npc_dota_hero_winter_wyvern"		"Зимната змеица"
		"npc_dota_hero_arc_warden"			"Бранителят на волтовата дъга"
		"npc_dota_hero_monkey_king"			"Кралят на маймуните"
		"npc_dota_hero_pangolier"			"Панголиър"
		"npc_dota_hero_dark_willow"			"Мрачната Върба"
		"npc_dota_hero_grimstroke"			"Зловещият щрих"
		"npc_dota_hero_mars"				"Марс"

		
		// Quality
		"base"							"Базово"
		
		
		// Loadout Slots
		"LoadoutSlot_None"									"Не е налично"
		"LoadoutSlot_Weapon"								"Оръжие"
		"LoadoutSlot_OffHand_Weapon"						"Спомагателно"
		"LoadoutSlot_Head"									"Глава"
		"LoadoutSlot_Shoulder"								"Рамо"
		"LoadoutSlot_Arms"									"Ръце"
		"LoadoutSlot_Armor"									"Броня"
		"LoadoutSlot_Belt"									"Колан"
		"LoadoutSlot_Back"									"Гръб"
		"LoadoutSlot_Neck"									"Врат"
		"LoadoutSlot_Legs"									"Крака"
		"LoadoutSlot_Gloves"								"Ръкавици"
		"LoadoutSlot_Tail"									"Опашка"
		"LoadoutSlot_Taunt"									"Присмех"
		"LoadoutSlot_Emblem"								"Емблема"
		"LoadoutSlot_Courier"								"Куриер"
		"LoadoutSlot_Announcer"								"Говорител"
		"LoadoutSlot_Heroic_Statue"							"Героична статуя"
		"LoadoutSlot_Mega_Kills"							"Говорител за мега убийствата"
		"LoadoutSlot_Fan"									"Почитател"
		"LoadoutSlot_Action_Item"							"Артикул с действие"
		"LoadoutSlot_Fan_Item"								"Артикул за почитател"
		"LoadoutSlot_Weather"								"Атмосферни ефекти"
		"LoadoutSlot_Terrain"								"Терен"
		"LoadoutSlot_MultiKill_Banner"						"Флаг за масово убийство"
		"LoadoutSlot_Music"									"Музика"
		"LoadoutSlot_Ability_Attack"						"Атака по подразбиране"
		"LoadoutSlot_Ability1"								"Умение 1"
		"LoadoutSlot_Ability2"								"Умение 2"
		"LoadoutSlot_Ability3"								"Умение 3"
		"LoadoutSlot_Ability4"								"Умение 4"
		"LoadoutSlot_AbilityUltimate"						"Ултимат"
		"LoadoutSlot_Ability_Ultimate"						"Ултимат"
		"LoadoutSlot_Body_Head"								"Тяло — глава"
		"LoadoutSlot_Mount"									"Животно за яздене"
		"LoadoutSlot_Custom_Hex"							"Вещерски ефекти"
		"LoadoutSlot_Misc"									"Разни"
		"LoadoutSlot_Summon"								"Призована единица"
		"LoadoutSlot_ward"									"Страж"
		"LoadoutSlot_hud_skin"								"Вид на интерфейса"
		"LoadoutSlot_Shapeshift"							"Промяна на облика"
		"LoadoutSlot_Wolves"								"Вълци"
		"LoadoutSlot_loading_screen"						"Екран при зареждане"
		"LoadoutSlot_Elder_Dragon"							"Форма на древен дракон"
		"LoadoutSlot_Head_Accessory"						"Глава"
		"LoadoutSlot_Shield"								"Щит"
		"LoadoutSlot_Wings"									"Криле"
		"LoadoutSlot_Quiver"								"Колчан"
		"LoadoutSlot_Beard"									"Брада"
		"LoadoutSlot_Heads"									"Глави"
		"LoadoutSlot_LeftArm"								"Лява ръка"
		"LoadoutSlot_RightArm"								"Дясна ръка"
		"LoadoutSlot_Body"									"Тяло"
		"LoadoutSlot_Claws"									"Нокти"
		"LoadoutSlot_ambient_effects"						"Околни ефекти"
		"LoadoutSlot_cursor_pack"							"Пакет с курсори"
		"LoadoutSlot_teleport_effect"						"Ефект при телепортиране"
		"LoadoutSlot_blink_effect"							"Ефект за „Проблясък“"
		"LoadoutSlot_Voice"									"Глас"
 		"LoadoutSlot_Pet"									"Питомец"
		"LoadoutSlot_Visage_Familiar"						"Фамилиарни"
		"LoadoutSlot_Phoenix_Supernova"						"Свръхнова"
		"LoadoutSlot_Radiant_Creeps"						"Лъчезарна сган"
		"LoadoutSlot_Dire_Creeps"							"Злокобна сган"

		//Hero Loadoutslots
		"LoadoutSlot_Alchemist_TinyArmor"					"Дребосъчето — броня"
		"LoadoutSlot_Alchemist_Flask"						"Манерка"
		"LoadoutSlot_Alchemist_TinyHead"					"Дребосъчето — глава"
		"LoadoutSlot_Beastmaster_Hawk"						"Ястреб"
		"LoadoutSlot_Beastmaster_Boar"						"Глиган"
		"LoadoutSlot_Brewmaster_Barrel"						"Буре"
		"LoadoutSlot_Brewmaster_Shoulder"					"Броня"
		"LoadoutSlot_Broodmother_Spiderling"				"Паяче"
		"LoadoutSlot_Clockwerk_Rocket"						"Сигнална ракета"
		"LoadoutSlot_Clockwerk_Cogs"						"Енергийни зъбчати колела"
		"LoadoutSlot_Death_Spirits"							"Духове"
		"LoadoutSlot_EarthSpirit_StoneRemnant"				"Каменна останка"
		"LoadoutSlot_Earthshaker_Totem"						"Тотем"
		"LoadoutSlot_ElderTitan_AstralSpirit"				"Астрален дух"
		"LoadoutSlot_Enigma_Eidolons"						"Ейлодони"
		"LoadoutSlot_Gyrocopter_Guns"						"Огнестрелни оръжия"
		"LoadoutSlot_Gyrocopter_Propeller"					"Перка"
		"LoadoutSlot_Gyrocopter_MissileCompartment"			"Ракетно отделение"
		"LoadoutSlot_Gyrocopter_HomingMissile"				"Самонасочваща се ракета"
		"LoadoutSlot_Invoker_ForgeSpirit"					"Изковаване на дух"
		"LoadoutSlot_Juggernaut_HealingWard"				"Лечебен страж"
		"LoadoutSlot_LegionCommander_Banners"				"Флагове"
		"LoadoutSlot_LoneDruid_TrueForm"					"Същинска форма"
		"LoadoutSlot_LoneDruid_SpiritBear"					"Духовна мечка"
		"LoadoutSlot_NaturesProphet_Treants"				"Дървесните"
		"LoadoutSlot_Pugna_NetherWard"						"Долен страж"
		"LoadoutSlot_ShadowShaman_SerpentWards"				"Змийски страж"
		"LoadoutSlot_Techies_Cart"							"Талига"
		"LoadoutSlot_Techies_Bazooka"						"Базука"
		"LoadoutSlot_Techies_Squee"							"Скуий"
		"LoadoutSlot_Techies_Spoon"							"Спуун"
		"LoadoutSlot_Techies_Spleen"						"Сплийн"
		"LoadoutSlot_Techies_RemoteMines"					"Отдалечени мини"
		"LoadoutSlot_TerrorBlade_Demon"						"Демон"
		"LoadoutSlot_TrollWarlord_OffHand_Weapon_Melee"		"Спомагателно ръкопашно оръжие"
		"LoadoutSlot_TrollWarlord_Weapon_Melee"				"Ръкопашно оръжие"
		"LoadoutSlot_Tusk_Tusks"							"Бивни"
		"LoadoutSlot_Tusk_Fist"								"Юмрук"
		"LoadoutSlot_Tusk_FrozenSigil"						"Замръзнал магически символ"
		"LoadoutSlot_Undying_Tombstone"						"Надгробен камък"
		"LoadoutSlot_Undying_Flesh_Golem"					"Плътски голем"
		"LoadoutSlot_Venomancer_StingerLimbs"				"Жилещи крайници"
		"LoadoutSlot_Venomancer_PlagueWard"					"Чумни стражи"
		"LoadoutSlot_Warlock_Golem"							"Голем"
		"LoadoutSlot_Warlock_Lantern"						"Фенер"
		"LoadoutSlot_Warlock_EvilPurse"						"Зло портмоне"
		"LoadoutSlot_Weaver_Antennae"						"Антени"
		"LoadoutSlot_WitchDoctor_DeathWard"					"Мъртвешки страж"
		"LoadoutSlot_Techies_Sign"							"Табела"
		"LoadoutSlot_Jakiro_Head_Left"						"Лява глава"
		"LoadoutSlot_Jakiro_Head_Right"						"Дясна глава"
	

		// Item Editor // Workshop Tools

		"DOTA_Workshop_AmbientLight"							"Околна светлина"
		"DOTA_Workshop_AmbientLightScale"						"Яркост на околната светлина"
		"DOTA_Workshop_Automate"								"Автоматично напредване към завършека"
		"DOTA_Workshop_CloneCamera"								"Клониране на изгледа от камера"
		"DOTA_Workshop_Copy"								    "Копиране"
		"DOTA_Workshop_PasteAll"								"Поставяне на всичко"
		"DOTA_Workshop_PasteVisuals"							"Поставяне на изображения"
		"DOTA_Workshop_BackgroundColor"                         "Фонов цвят"
		"DOTA_Workshop_BackgroundTexture"                       "Фонова текстура"
		"DOTA_Workshop_Camera"                                  "Камера"
		"DOTA_Workshop_CameraRoll"                              "Завъртане на камерата"
		"DOTA_Workshop_CameraFOV"                               "Полезрение на камерата"
		"DOTA_Workshop_CameraFarZ"                              "Разстояние от камерата до далечната равнина"
		"DOTA_Workshop_EditAngles"                              "Редактиране на ъглите"
		"DOTA_Workshop_EditAttachments"                         "Редактиране на точките за прикачване"
		"DOTA_Workshop_EditGeneric"                             "Преглед на модела"
		"DOTA_Workshop_EditOrigin"                              "Редактиране на източника"
		"DOTA_Workshop_EditTarget"                              "Редактиране на целта"
		"DOTA_Workshop_EditPortrait"                            "Редактиране на портрета"
		"DOTA_Workshop_GameDay"                                 "Ден"
		"DOTA_Workshop_GameNight"                               "Нощ"
		"DOTA_Workshop_ImportError"                             "Грешка при внасяне"
		"DOTA_Workshop_ImportLog"                               "Хронология на внасянето"
		"DOTA_Workshop_ImagePreview"                            "Преглед на изображение"
		"DOTA_Workshop_Next"                                    "Следващо"
		"DOTA_Workshop_ValveSelectItemID"                       "Избиране на № за артикула"
		"DOTA_Workshop_PickType"                                "Избиране на тип"
		"DOTA_Workshop_Portrait"                                "Портрет"
