"lang"
{ 
	"Language" "ukrainian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Автоатака"
		"dac_ability_witch_doctor_paralyzing_cask"								"Паралітичний глек"
		"dac_ability_witch_doctor_paralyzing_cask_Description"					"Знахар кидає глек із паралітичним порошком, який відскакує {s:bounces} разів між ворожими істотами, приголомшує і завдає їм {s:damage} шкоди. Тризірковий Знахар також проклинає зачеплених глеком істот на {s:health_interval} с, що завдає їм {s:damage_per_sec} шкоди за секунду. Наприкінці істота зазнає додаткові {s:damage_pct}% всієї шкоди, отриманої під час дії прокльону."
		"dac_ability_witch_doctor_paralyzing_cask_Lore"							"Люблю спостерігати за вашою роботою, цілителю… — <i>Гобґен, капосна фея</i>"

		//JUGGERNAUT
		"dac_ability_juggernaut_blade_fury"										"Лють клинка"
		"dac_ability_juggernaut_blade_fury_Description"							"Джаґернаут розкручує свій клинок, що дає герою імунітет до магії та щосекунди завдає {s:damage} шкоди ворогам у радіусі {s:radius} упродовж {s:duration} с. Джаґернаут також може почати крутитися, щоб уникнути магічної атаки."
		"dac_ability_juggernaut_blade_fury_Lore"								"Юрнеро не просто воїн. Він Джаґернаут. Якщо матимемо його на своєму боці, то доведеться скиртувати гори трупів. — <i>Ґрек, що обмірковує усі сторони справи</i>"

		//SANDKING
		"dac_ability_sandking_burrowstrike"										"Підкоп"
		"dac_ability_sandking_burrowstrike_Description"							"Цар Пісків закопується під землю й риє поперед себе тунель, на шляху приголомшуючи ворогів на {s:stun_duration} с і завдаючи їм {s:damage} шкоди.<br>Усі зачеплені жертви отримують ефект Ядучої смерті, що поєднується."
		"dac_ability_sandking_burrowstrike_Lore"								"Багато праці було вкладено в будівництво нашої мережі тунелів. Не можна допустити, аби Цар Пісків знищив створене нами. — <i>Джул, лікерний барон</i>"

		"dac_ability_sandking_caustic_finale"									"Ядуча смерть"
		"dac_ability_sandking_caustic_finale_Description"						"ПАСИВНО: кожна атака Царя Пісків отруює ворога на {s:apply_duration} с. Після цього отрута вибухає й завдає {s:damage_aoe} шкоди іншим ворогам у радіусі 1, що зменшує їхню швидкість атаки на {s:attack_slow} упродовж {s:slow_duration} с. Якщо ціль ще жива, то шкоди завдається вдвічі менше."
		"dac_ability_sandking_caustic_finale_Lore"								"А що заважало скористатися брезентом для всіх цих брудних справ? — <i>Анесикс, пекельна прихильниця чистоти</i>"

		//SHADOW FRIEND
		"dac_ability_shadow_fiend_requiem"										"Реквієм душ"
		"dac_ability_shadow_fiend_requiem_Description"							"Тінистий Нелюд викликає душі проклятих і вивільняє демонічну енергію навколо себе, що завдає {s:damage} шкоди всім, кого зачіпає вибухом."
		"dac_ability_shadow_fiend_requiem_Lore"									"Рістульський двір та я… досягли взаєморозуміння. — <i>Анесикс, приземлений демон</i>"

		//PHANTOM ASSASSIN
		"dac_ability_phantom_assassin_coup_de_grace"							"Удар милосердя"
		"dac_ability_phantom_assassin_coup_de_grace_Description"				"ПАСИВНО: Фантомна Вбивця має {s:crit_chance}% шансу завдати {s:crit_bonus}% своєї шкоди в жахливій критичній атаці."
		"dac_ability_phantom_assassin_coup_de_grace_Lore"						"Вона вбила Квертіаса, тож чому мені не припустити, що вона прийде і за мною? — <i>Оня, купець-параноїк</i>"

		//DROW RANGER
		"dac_ability_drow_ranger_trueshot_aura"									"Аура влучності"
		"dac_ability_drow_ranger_trueshot_aura_Description"						"ПАСИВНО: Дроу-Рейнджер збільшує швидкість атаки на {s:bonus}% у всіх союзників у радіусі {s:range}."
		"dac_ability_drow_ranger_trueshot_aura_Lore"							"Траксекс. З нею ми досягнемо вершин. Повірте. — <i>Ґрек, шарлатан</i>"

		//MORPHLING
		"dac_ability_morphling_waveform"										"Хвиля"
		"dac_ability_morphling_waveform_Description"							"Морфник обертається на рідину і хвилею лине вперед, завдаючи {s:damage} шкоди всім ворожим істотам на шляху.<br><br>Морфник невразливий під час дії цієї здібності."
		"dac_ability_morphling_waveform_Lore"									"Здібність Турата домовлятися із такими, як Морфник… лякає. — <i>Тиша, годинникар-змовник</i>"

		//AXE
		"dac_ability_axe_berserkers_call"										"Клич берсерка"
		"dac_ability_axe_berserkers_call_Description"							"Сокирник провокує ворогів у радіусі {s:radius}, що змушує їх атакувати його впродовж {s:duration} с. Поки Клич берсерка активний, Сокирник отримує {s:bonus_armor} додаткової броні."
		"dac_ability_axe_berserkers_call_Lore"									"Отримати допомогу Сокирника легко… Потрібно лиш мати пиво і пообіцяти, що про цю пригоду йому буде цікаво розповідати. — <i>Врен, очільниця повстанців</i>" 

		"dac_ability_axe_culling_blade"											"Відбракування"
		"dac_ability_axe_culling_blade_Description"								"Якщо ціль Сокирника має менше ніж {s:target_percent_health_threshold}% здоров’я, то він миттєво вбиває її. Своєю сокирою."
		"dac_ability_axe_culling_blade_Lore"									"А Сокирник ДІЙСНО добре розрубує людей навпіл. — <i>Добронравна, що оспівує Сокирника</i>" 

		"dac_ability_axe_counter_helix"											"Контроберт"
		"dac_ability_axe_counter_helix_Description"								"Якщо на Сокирника нападають, то він має {s:spin_chance}% шансу виконати контрудар, який завдає {s:spin_damage} абсолютної шкоди всім ворогам у радіусі 1."
		"dac_ability_axe_counter_helix_Lore"									"Якось я впустив його до «Розколотого місяця»… після бійки в барі довелося ремонтувати весь бісовий будинок. — <i>Джул пояснює, чому Сокирнику не дозволено заходити в бар</i>" 

		//RAZOR
		"dac_ability_razor_plasma_field"										"Плазматичне поле"
		"dac_ability_razor_plasma_field_Description"							"Лезо випускає плазматичне коло, що зростає в силі під час розширення та слабне під час звуження. Коло сповільнює зачеплених ворогів у радіусі до {s:radius} і завдає їм до {s:damage_max} шкоди.<br><br>Шкода та сповільнення зростають зі збільшенням відстані від Леза.<br><br>Плазматичне поле вражає кожного ворога двічі — під час розширення і звуження."
		"dac_ability_razor_plasma_field_Lore"									"Якщо вас лякають його справи на вулицях Білого Шпиля, то це ви просто не бачили, що він натворив у Вузькому лабіринті. — <i>Анесикс, любитель спортивних змагань</i>"

		//CRYSTAL MAIDEN
		"dac_ability_crystal_maiden_brilliance_aura"							"Чаклунська аура"
		"dac_ability_crystal_maiden_brilliance_aura_Description"				"ПАСИВНО: кожні {s:interval} с Кришталева Діва дає додаткові {s:mana_regen} регенерації мани всім союзним істотам."
		"dac_ability_crystal_maiden_brilliance_aura_Lore"						"З’ясуйте, вона прийшла за мною чи за Туратом? — <i>Джул, контрабандист із Льодоверті</i>"

		"dac_ability_crystal_maiden_frostbite"									"Обмороження"
		"dac_ability_crystal_maiden_frostbite_Description"						"Заковує ворога в кригу, чим унеможливлює рух і атаку, а також завдає {s:damage} шкоди за секунду впродовж {s:duration} с. Істот під дією Обмороження неможливо зцілювати."
		"dac_ability_crystal_maiden_frostbite_Lore"								"У Білому Шпилі коїться казна що, тож можна легко щось проґавити. Кришталева Діва із Льодоверті раніше допомагала своїм товаришам, але тепер стало очевидним, що вона просто заморожує людей (дивно, я не знав). - <i>Карл, що дізнається про все останнім</i>"

		//KUNKKA
		"dac_ability_kunkka_ghostship"											"Корабель-привид"
		"dac_ability_kunkka_ghostship_Description"								"Кунка викликає примарний корабель, котрий пропливає полем бою, а потім розбивається на друзки й завдає {s:ability_damage} шкоди та приголомшує ворогів на {s:stun_duration} с у радіусі {s:ghostship_crash_cells}."
		"dac_ability_kunkka_ghostship_Lore"										"У мамці Іб було багато друзів… Кунка прагне знайти відповіді не менш, ніж я. — <i>Врен, мстива донька</i>"

		//TINY
		"dac_ability_tiny_toss"													"Кидок"
		"dac_ability_tiny_toss_Description"										"Малюк кидає випадкового ворога поблизу у найвіддаленішого від себе супротивника.<br><br>Від зіткнення всі вороги в радіусі {s:damage_radius} зазнають {s:damage} шкоди та приголомшення на {s:stun_duration} с."
		"dac_ability_tiny_toss_Lore"											"Схоже, Енно знайшов для себе бійця. — <i>Ґрек, що зіткнувся з великою проблемою</i>"

		//PUCK
		"dac_ability_puck_illusory_orb"											"Примарна сфера"
		"dac_ability_puck_illusory_orb_Description"								"Пак запускає магічну сферу, що летить прямо й завдає {s:damage} шкоди всім ворогам на своєму шляху."
		"dac_ability_puck_illusory_orb_Lore"									"Не дозволяй його зовнішньому вигляду тебе одурити. Пак — справжній негідник. — <i>Гобґен, що промовляє мудрі слова</i>"

		"dac_ability_puck_phase_shift"											"Міжвимірний стрибок"
		"dac_ability_puck_phase_shift_Description"								"<i>РОЗБЛОКОВУЄТЬСЯ АЛЬЯНСОМ ДРАКОНІВ</i><br>ПАСИВНО: перш ніж зазнати шкоди, Пак ненадовго стрибає в інший вимір, де має імунітет до будь-якої шкоди впродовж {s:shift_duration} с."
		"dac_ability_puck_phase_shift_Lore"										"Цього малого мерзотника вічно немає поруч, коли він потрібен. — <i>Гобґен, нетерплячий підлорд</i>"

		//CLOCKWERK
		"dac_ability_clockwerk_battery_assault"									"Гальванічна атака"
		"dac_ability_clockwerk_battery_assault_Description"						"Годинникар розряджає високовольтну шрапнель у випадкового ворога в радіусі {s:radius_in_cells} кожні {s:damage_tick} с упродовж {s:duration} с, яка завдає {s:damage} магічної шкоди та викликає міні-приголомшення."
		"dac_ability_clockwerk_battery_assault_Lore"							"Латунний вісник назвав би вас огидним, але, як на мене, ви радше кмітливий, малий мастаче. — <i>Тиша, автоматон-єретик</i>"

		//LICH
		"dac_ability_lich_chain_frost"											"Морозний ланцюг"
		"dac_ability_lich_chain_frost_Description"								"Ліч запускає льодяну сферу, яка відскакує між ворожими істотами {s:jumps} разів, сповільнює їхні атаки та швидкість руху на {s:slow_value}% упродовж {s:slow_duration} с і з кожним ударом завдає {s:damage} шкоди."
		"dac_ability_lich_chain_frost_Lore"										"Допоможімо один одному, Ліче. — <I>Турат, що укладає фаустівську угоду</i>"

		//TIDEHUNTER
		"dac_ability_tidehunter_ravage"											"Руйнація"
		"dac_ability_tidehunter_ravage_Description"								"Хвилеріз гатить по землі, з якої в усі сторони вириваються щупальці й завдають {s:damage} шкоди та приголомшують усіх ворожих істот у радіусі {s:cells} на {s:duration} с."
		"dac_ability_tidehunter_ravage_Lore"									"Кунка, з тобою було значно приємніше у часи, коли на тебе не полював Левіафан. — <i>Врен, друг лише в добру погоду</i>"

		//SHADOWSHAMAN
		"dac_ability_shadow_shaman_voodoo"										"Обернення"
		"dac_ability_shadow_shaman_voodoo_Description"							"Шаман Тіней обертає ворога на безвинну тваринку, що блокує всі його здібності та можливість атакувати на {s:duration} с."
		"dac_ability_shadow_shaman_voodoo_Lore"									"Оцей хлопець знає, як правильно розважатися! — <i>Ґрек, що робить професійний комплімент</i>"

		"dac_ability_shadow_shaman_mass_serpent_ward"							"Ватага змієвардів"
		"dac_ability_shadow_shaman_mass_serpent_ward_Description"				"Шаман Тіней прикликає 4 змієвардів, які створюють пастку для ворожої істоти. Тризірковий Шаман Тіней також обертає ворожу істоту на курча на {s:duration} с."
		"dac_ability_shadow_shaman_mass_serpent_ward_Lore"						"Хлопаки, маємо гарні новини! Курчата знову в меню! — <i>Гобґен, шпаркий пройдисвіт</i>"

		//ENIGMA
		"dac_ability_enigma_midnight_pulse"										"Опівнічний пульс"
		"dac_ability_enigma_midnight_pulse_Description"							"Еніґма наповнює місцевість під ворогом із найбільшим максимальним здоров’ям темним резонансом, що в радіусі {s:radius} і впродовж {s:duration} с завдає ворогам шкоди, яка дорівнює {s:damage_percent}% від їхнього максимального здоров’я і сповільнює їх на {s:slow_percent}%."
		"dac_ability_enigma_midnight_pulse_Lore"								"У світі є речі, які неможливо контролювати. — <i>Турат, божевільний маг</i>"

		//TINKER
		"dac_ability_tinker_heat_seeking_missile"								"Теплонавідні ракети"
		"dac_ability_tinker_heat_seeking_missile_Description"					"Механік випускає в {s:targets} випадкових ворогів залп ракет, кожна з яких завдає {s:damage_per_missile} шкоди під час влучання."
		"dac_ability_tinker_heat_seeking_missile_Lore"							"Спільнота мастаків-однодумців стане проблемою, якщо їх не обмежувати. — <i>Оня, що намагається сформувати єдиний фронт</i>"

		//SNIPER
		"dac_ability_sniper_assassinate"										"Забій"
		"dac_ability_sniper_assassinate_Description"							"Снайпер вицілює ворога впродовж {s:castPoint} с, а потім робить нищівний постріл із великої відстані, котрий завдає {s:damage} шкоди й викликає міні-приголомшення. Не можна поцілити в підлордів."
		"dac_ability_sniper_assassinate_Lore"									"Знаєте, колись моє шоу відкривав один мастак. Публіці дуже подобалося, але були негативні страхові наслідки. — <i>Ґрек, сфокусований на витратах</i>"

		//NECROLYTE
		"dac_ability_necrophos_death_pulse"										"Пульс смерті"
		"dac_ability_necrophos_death_pulse_Description"							"Некрофос випускає навколо себе хвилю смерті, котра діє на всіх істот у радіусі {s:radius}.<br><br>Союзники отримують {s:heal} лікування, а вороги — {s:damage} шкоди."
		"dac_ability_necrophos_death_pulse_Lore"								"Ну ж бо, Некрофосе, має бути хоч щось тобі до вподоби… — <i>Анесикс, красномовний диявол</i>"

		//SLARDAR
		"dac_ability_slardar_amplify_damage"									"Ядучий серпанок"
		"dac_ability_slardar_amplify_damage_Description"						"Слардар модифікує ворожу броню на {s:armor_reduction} упродовж {s:duration} с. Тризірковий Слардар також приголомшує ціль: завдає {s:bash_damage} фізичної шкоди та приголомшення на {s:bash_duration} с."
		"dac_ability_slardar_amplify_damage_Lore"								"Мені вдалося співпрацювати зі Сларком, тож і зі Слардаром ми маємо дійти згоди. — <i>Джул, знавець вин</i>"

		//BEASTMASTER
		"dac_ability_beastmaster_wild_axes"										"Дикі сокири"
		"dac_ability_beastmaster_wild_axes_Description"							"Звіромайстер кидає сокири, які повертаються до нього назад і дорогою рубають ворогів, чим завдають {s:axe_damage} шкоди.<br><br>Кожна сокира може влучити у ворога один раз та посилює на {s:damage_amp}% шкоду, якої жертва зазнає від Звіромайстра."
		"dac_ability_beastmaster_wild_axes_Lore"								"Скільки ще цих травоїдних приходитимуть по мою душу через дріб’язкову сварку? — <i>Ґрек, що скаржиться через Енно</i>"

		//VENOMANCER
		"dac_ability_venomancer_plague_ward"									"Чумний вард"
		"dac_ability_venomancer_plague_ward_Description"						"Трутомант прикликає чумні варди ({s:num_wards}), які б’ються на його боці. Вони накладають поєднання отрути на свою ціль і мають {s:ward_magic_resist}% опору магії."
		"dac_ability_venomancer_plague_ward_Lore"								"Творіння ваші такі приємні для очей. Дозвольте помогти обробляти ваш сад… — <i>Турат, що відкриває всі двері лестощами</i>"

		"dac_ability_venomancer_venomous_gale"									"Отруйний подих"
		"dac_ability_venomancer_venomous_gale_Description"						"Запускає по прямій лінії отруйну кулю, яка труїть ворожих істот і завдає {s:projectile_damage} магічної шкоди. Також вражені істоти втрачають {s:movement_slow}% швидкості руху та {s:attack_slow} швидкості атаки на {s:tick_duration} с."
		"dac_ability_venomancer_venomous_gale_Lore"								"Ні-ні-ні! Якщо пустити його битися, то він приб’є половину аудиторії. Знайдіть когось іншого. — <i>Ґрек, що розмірковує над вірогідною заміною Сунь Укуна</i>"

		"dac_ability_venomancer_poison_sting"									"Отруйне жало"
		"dac_ability_venomancer_poison_sting_Description"						"ПАСИВНО: кожна атака накладає одне поєднання отрути на ціль."
		"dac_ability_venomancer_poison_sting_Lore"								"Тримайте цю штуку якнайдалі від Енно. Ще йому додаткової отрути не вистачало… — <i>Гобґен, що не воліє бути отруєним</i>"

		//TEMPLAR ASSASSIN
		"dac_ability_templar_assassin_refraction"								"Заломлення"
		"dac_ability_templar_assassin_refraction_Description"					"Тамплієр-Убивця стає невловимою, що дозволяє їй уникати шкоди, і здобуває +{s:bonus_damage} шкоди до атак.<br><br>Посилення шкоди й ухилення є різними ефектами, кожен зі своєю кількістю спрацювань: {s:instances}."
		"dac_ability_templar_assassin_refraction_Lore"							"Якщо ви мені допоможете, то ми розрахуємося. — <i>Врен, що бере всю допомогу, яку може дістати</i>"

		"dac_ability_templar_assassin_meld"										"Злиття"
		"dac_ability_templar_assassin_meld_Description"							"ПАСИВНО: після телепортації до своєї цілі Тамплієр-Убивця завдає {s:damage} додаткової шкоди з першої атаки та зменшує броню своєї цілі на {s:armor_debuff} упродовж {s:armor_debuff_duration} с."
		"dac_ability_templar_assassin_meld_Lore"								"Ваші таланти повністю відповідають масштабам замисленого мною. — <i>Анесикс, що пропонує роботу</i>"
		
		//VIPER
		"dac_ability_viper_viper_strike"										"Укус гадюки"
		"dac_ability_viper_viper_strike_Description"							"Кислотна отрута Гадюки сповільнює рух і швидкість атаки ворога на {s:bonus_attack_speed}%, а також завдає {s:damage} періодичної отруйної шкоди.<br><br>Швидкість жертви поступово відновлюється."
		"dac_ability_viper_viper_strike_Lore"									"Ми не такі вже й різні… Я теж знаю, що значить бути рабом. — <i>Тиша, хитрий автоматон</i>"

		"dac_ability_viper_nethertoxin"											"Попідземний токсин"
		"dac_ability_viper_nethertoxin_Description"								"Гадюка отруює клітину — завдає {s:damage} шкоди за секунду, укорінює й застосовує переривання на будь-кого, хто там стоїть."
		"dac_ability_viper_nethertoxin_Lore"									"Обережніше, Сларку. Не раджу навіть пробувати обікрасти мене. — <i>Оня, що хизується найнятим охоронцем</i> "

		"dac_ability_viper_corrosive_skin"										"Ядучі луски"
		"dac_ability_viper_corrosive_skin_Description"							"<i>РОЗБЛОКОВУЄТЬСЯ АЛЬЯНСОМ ДРАКОНІВ</i><br>ПАСИВНО: Гадюка виділяє заразну отруту, яка накладає одне поєднання отрути на кожного нападника і сповільнює швидкість атаки ворога на {s:attack_slow} упродовж {s:dot_duration} с. Виділена кислота також збільшує магічний опір Гадюки на {s:magic_resistance}."
		"dac_ability_viper_corrosive_skin_Lore"									"Хотілося б мені знайти спосіб пошити з них гарний плащ… — <i>Карл, великий мрійник</i>"

		//LUNA
		"dac_ability_luna_moon_glaive"											"Місячні глефи"
		"dac_ability_luna_moon_glaive_Description"								"ПАСИВНО: Луна посилює свої глефи, через що її атаки відскакують {s:bounces} разів між ворогами в радіусі {s:range}.<br><br>Глефи завдають на {s:damage_reduction_percent}% менше шкоди після кожного відскоку."
		"dac_ability_luna_moon_glaive_Lore"										"Не розумію й половини того, що ви говорите, але мені подобається, як ви кидаєте оті штуки. — <i>Ґрек, товариська особистість</i>"

		//DRAGON KNIGHT
		"dac_ability_dragon_knight_breathe_fire"								"Вогняний подих"
		"dac_ability_dragon_knight_breathe_fire_Description"					"Обпалює вогняним подихом ворожих істот перед героєм на {s:damage} шкоди та зменшує завдавану ними шкоду на {s:attack_reduction}% упродовж {s:duration} с."
		"dac_ability_dragon_knight_breathe_fire_Lore"							"Девіоне, ваші таланти марнуються на тих, хто не здатен захоплюватися красою ваших діянь. — <i>Гобґен, що переманює до себе талановитого бійця</i>"

		"dac_ability_dragon_knight_elder_dragon_form"							"Форма древнього дракона"
		"dac_ability_dragon_knight_elder_dragon_form_Description"				"<i>РОЗБЛОКОВУЄТЬСЯ АЛЬЯНСОМ ДРАКОНІВ</i><br>ПАСИВНО: на початку бою Лицар-Дракон приймає форму одного з трьох могутніх древніх драконів, збільшуючи швидкість руху на {s:bonus_movement_speed}% і шкоду від атак на {s:bonus_attack_damage}, а також отримуючи нові сили.<br><br>Зелений дракон:\nАтаки завдають {s:corrosive_breath_damage} шкоди за секунду впродовж {s:corrosive_breath_duration} с та отруюють ціль.<br><br>Червоний дракон:\nАтаки завдають {s:splash_damage_percent}% шкоди всім ворогам у радіусі {s:splash_radius}. На цілі також накладається отруйний ефект.<br><br>Синій дракон:\nСповільнює швидкість руху на {s:frost_bonus_movement_speed}% та швидкість атаки на {s:frost_bonus_attack_speed}% усім ворогам у радіусі {s:frost_aoe} на {s:frost_duration} с. На цілі також накладається отруйний ефект."
		"dac_ability_dragon_knight_elder_dragon_form_Lore"						"Каден мав про вас дуже високу думку. Сподіваюся, його похвала була чесно зароблена. — <i>Врен, друг Драконової тверджі</i>"

		//ENCHANTRESS
		"dac_ability_enchantress_natures_attendants"							"Діти природи"
		"dac_ability_enchantress_natures_attendants_Description"				"Чарівниця викликає хмарку світляків {s:wisp_count}, які зцілюють усіх союзників у радіусі {s:radius}.<br><br>Союзники лікують {s:heal} здоров’я кожні {s:heal_interval} с упродовж {s:duration} с."
		"dac_ability_enchantress_natures_attendants_Lore"						"Вона навіть дня не протримається в Білому Шпилі. Жодного. Дня. — <i>Гобґен, який недооцінює супротивника</i>"

		//BOUNTY HUNTER
		"dac_ability_bounty_hunter_shuriken_toss"								"Кидок сюрикена"
		"dac_ability_bounty_hunter_shuriken_toss_Description"					"Головоріз кидає смертоносний сюрикен у ворожу істоту, чим завдає {s:damage} шкоди та викликає міні-приголомшення."
		"dac_ability_bounty_hunter_shuriken_toss_Lore"							"Поки маєте гроші, то завжди можете довіритися тому, хто продає свою вірність. — <i>Оня, сумнівно мудра</i>"

		//BATRIDER
		"dac_ability_batrider_sticky_napalm"									"Липкий напалм"
		"dac_ability_batrider_sticky_napalm_Description"						"Летючий Вершник розбиває об землю колбу, розливаючи липку палаючу рідину в радіусі {s:radius} від місця удару, що збільшує його шкоду від атак і здібностей на {s:damage}, а також зменшує швидкість руху й атаки ворогів на {s:movement_speed_pct}%. Тризірковий Летючий Вершник також підпалює ворогів на {s:fire_duration} c.<br><br>Повторне використання здібності збільшує ефект (до {s:max_stacks} поєднань)."
		"dac_ability_batrider_sticky_napalm_Lore"								"Обожнюю цього хлопака. ОБОЖНЮЮ. — <i>Гобґен, піроманіяк</i>"

		//DOOM BRINGER
		"dac_ability_doom_bringer_doom"											"Кара"
		"dac_ability_doom_bringer_doom_Description"								"Доленосець щосекунди зазнає {s:damage} шкоди й накладає на ворога переривання й потужне прокляття, через яке той не може використовувати здібності.<br><br>Закляття триває {s:duration} c."
		"dac_ability_doom_bringer_doom_Lore"									"Я радше укладатиму угоди з метафоричними демонами… — <i>Оня, що говорить про союзників Анексиса</i>"

		//GYROCOPTER
		"dac_ability_gyrocopter_call_down"										"Авіаудар"
		"dac_ability_gyrocopter_call_down_Description"							"Ґіроліт завдає авіаудар по ворожих істотах у радіусі {s:radius}.<br><br>По черзі падають дві авіабомби: перша завдає {s:damage_first} шкоди й сповільнює ворога на {s:slow_first}% упродовж {s:slow_duration_first} с, а друга завдає {s:damage_second} шкоди й сповільнює ворога на {s:slow_second}% впродовж {s:slow_duration_second} с."
		"dac_ability_gyrocopter_call_down_Lore"									"Уявіть-но лишень, скільки б усього можна було ним перевезти. — <i>Джул, що уявляє майбутні перспективи</i>"

		//ALCHEMIST
		"dac_ability_alchemist_acid_spray"										"Кислотний спрей"
		"dac_ability_alchemist_acid_spray_Description"							"Алхімік розбризкує кислоту під тиском у радіусі {s:radius}.<br><br>Доки ворог знаходиться в забрудненій зоні, він отримуватиме {s:armor_reduction} до броні та щосекунди отримуватиме {s:damage} шкоди."
		"dac_ability_alchemist_acid_spray_Lore"									"Ви любите палити людей, а я люблю палити їхні будинки… ми створені бути союзниками. — <i>Гобґен, що прокладає міст дружби</i>"

		// Lycan
		"dac_ability_lycan_wolf_spawn_shift"									"Вовкулака"
		"dac_ability_lycan_wolf_spawn_shift_Description"						"Лікантроп прикликає вовків ({s:summon_count}), перетворюється й отримує {s:hp_per}% до максимального здоров’я, {s:crit_chance}% імовірності критичного удару з {s:crit_bonus}% шкоди, а його швидкість збільшується до {s:speed}."
		"dac_ability_lycan_wolf_spawn_shift_Lore"								"Лікантропе, будь ласка, допоможи мені помститися. — <i>Врен, що звертається до людяності Лікантропа</i>"
		
		// LONE DRUID
		"dac_ability_lone_druid_summon_bear"									"Виклик ведмедя-духа"
		"dac_ability_lone_druid_summon_bear_Description"						"Прикликає могутнього ведмедя-духа як помічника."
		"dac_ability_lone_druid_summon_bear_Lore"								"Тільки тримай ведмедя якомога далі від мене, гаразд? Не люблю я їх. — <i>Ґрек, ведмедененависник</i>"
		

		//CHAOS KNIGHT
		"dac_ability_chaos_knight_chaos_bolt"									"Розряд хаосу"
		"dac_ability_chaos_knight_chaos_bolt_Description"						"Лицар Хаосу кидає згусток містичної енергії, що приголомшує ціль на {s:stun_min}-{s:stun_max} с та завдає {s:damage_min}-{s:damage_max} шкоди."
		"dac_ability_chaos_knight_chaos_bolt_Lore"								"Білому Шпилю не завадить трохи хаосу. — <i>Гобґен, провісник хаосу</i>"

		//OGRE MAGI
		"dac_ability_ogre_magi_bloodlust"										"Жага крові"
		"dac_ability_ogre_magi_bloodlust_Description"							"Огр-Маг пробуджує лють у союзній істоті, чим збільшує її швидкість руху на {s:bonus_movement_speed}% та швидкість атаки на {s:bonus_attack_speed}%. Якщо Огр-Маг чаклує на себе, його швидкість атаки збільшується на {s:self_bonus}%. Огр-Маг має {s:multicast_chance}% шансу Мультичаклування на 2 цілі."
		"dac_ability_ogre_magi_bloodlust_Lore"									"Огр-Маг вартує вдвічі більше, ніж просить. Добре, що він бовдур. — <i>Оня, поціновувачка дешевизни</i>"

		// MAGNUS
		"dac_ability_magnataur_empower"											"Зміцнення"
