"lang"
{ 
	"Language" "thai" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"โจมตีอัตโนมัติ"
		"dac_ability_natures_prophet_wrath_of_nature_Lore"						"แท้จริงแล้วจุดประสงค์ของข้านั้นเกินความจำเป็น เจ้าไม่จำเป็นต้องใช้อาวุธเพื่อฆ่าคน ทุกอย่างที่เจ้าต้องการคือแค่ความอดทนรอให้ธรรมชาติจัดการเอง - <i>ไควเอท เครื่องกลคนคำนวณ</i>"

		//WINDRUNNER
		"dac_ability_windrunner_powershot"										"ลูกยิงแห่งพลัง"
		"dac_ability_windrunner_powershot_Description"							"วินด์เรนเจอร์ชาร์จพลังนานสูงสุด {s:castPoint} วินาทีเพื่อยิงธนูอันทรงพลังออกไป สร้างความเสียหายได้ถึง {s:powershot_damage} หน่วย ความเสียหายของลูกยิงแห่งพลังจะลดลง {s:damage_reduction}% เมื่อโดนศัตรูตัวต่อ ๆ ไป"
		"dac_ability_windrunner_powershot_Lore"									"ข้าสร้างเพื่อนเป็นจำนวนมากในระหว่างการท่องเที่ยวของข้า และข้าไม่กลัวที่จะทวงบุญคุณ - <i>เร็น นักท่องโลก</i>"

		//WITCHDOCTOR
		"dac_ability_witch_doctor_paralyzing_cask"								"กล่องอัมพาต"
		"dac_ability_witch_doctor_paralyzing_cask_Description"					"วิตช์ดอกเตอร์โยนกล่องที่บรรจุด้วยผงที่ทำให้เป็นอัมพาตซึ่งจะชิ่งไปมาระหว่างศัตรู {s:bounces} ครั้ง สตันและสร้างความเสียหาย {s:damage} หน่วยในแต่ละครั้งที่โดน"
		"dac_ability_witch_doctor_paralyzing_cask_Lore"							"ข้าชอบมองท่านทำงานนะ คุณหมอ... - <i>ฮอบเกน ภูตจอมโกลาหล</i>"

		//JUGGERNAUT
		"dac_ability_juggernaut_blade_fury"										"ดาบเดือดดาล"
		"dac_ability_juggernaut_blade_fury_Description"							"จักเกอร์น็อตปั่นใบมีดของเขา ทำให้อยู่ในสภาพต้านทานต่อเวทมนตร์ทุกชนิด และสร้างความเสียหาย {s:damage} หน่วยต่อวินาทีแก่ศัตรูที่อยู่ในระยะ {s:radius} ช่อง มีผล {s:duration} วินาที จักเกอร์น็อตอาจเริ่มปั่นใบมีดของเขาไปด้วยเพื่อหลบหลีกการโจมตีทางเวทมนตร์"
		"dac_ability_juggernaut_blade_fury_Lore"								"เยอร์เนโรไม่ใช่เป็นเพียงแค่นักรบ เขาคือจักเกอร์น็อต หากทำให้เขามาอยู่ฝั่งเราได้ เราจะได้นับศพกันไม่ทันเป็นแน่แท้ - <i>เมื่อเกร็กดูจากทุกองศา</i>"

		//SANDKING
		"dac_ability_sandking_burrowstrike"										"มุดพุ่งจู่โจม"
		"dac_ability_sandking_burrowstrike_Description"							"แซนด์คิงมุดตัวลงไปใต้ดินและขุดตรงไปข้างหน้า สร้างความเสียหาย {s:damage} หน่วยและสตันศัตรูในเส้นทางเป็นเวลา {s:stun_duration} วินาที<br>ทำให้ศัตรูทุกตัวที่โดนติดพิษกัดกร่อนพิฆาต"
		"dac_ability_sandking_burrowstrike_Lore"								"เราใช้ทรัพยากรและแรงงานไปมากมายในการสร้างโครงข่ายอุโมงค์ เราจะให้แซนด์คิงมาทำลายสิ่งที่เราสร้างไม่ได้ - <i>จุล นักธุรกิจน้ำเมาเจ้าใหญ่</i>"

		"dac_ability_sandking_caustic_finale"									"พิษกัดกร่อนพิฆาต"
		"dac_ability_sandking_caustic_finale_Description"						"ติดตัว: เมื่อแซนด์คิงโจมตีศัตรู เป้าหมายจะติดพิษเป็นเวลา {s:duration} วินาที เมื่อพิษหมดเวลา มันจะระเบิดสร้างความเสียหาย {s:damage_aoe} หน่วยและลดความเร็วในการโจมตีของศัตรูทั้งหมดที่อยู่ติดกับเป้าหมาย {s:attack_slow} หน่วยเป็นเวลา {s:slow_duration} วินาที ความเสียหายจะมีค่าแค่ครึ่งเดียวหากเป้าหมายยังมีชีวิตอยู่"
		"dac_ability_sandking_caustic_finale_Lore"								"ใช้ผ้าใบรองไว้กันเปื้อนกันไม่เป็นหรือไง? - <i>อเนสซิกซ์ ปีศาจนรกแสนสะอาด</i>"

		//SHADOW FRIEND
		"dac_ability_shadow_fiend_requiem"										"สวดส่งวิญญาณ"
		"dac_ability_shadow_fiend_requiem_Description"							"แชโดว์ฟีนด์ร่ายรวบรวมวิญญาณต้องสาปและปลดปล่อยพลังงานแห่งปีศาจรอบตัวเขา สร้างความเสียหาย {s:damage} หน่วยแก่ใครก็ตามที่โดนระเบิดนี้"
		"dac_ability_shadow_fiend_requiem_Lore"									"ราชสำนักแห่งริสทูลกับข้านั้นมี... ข้อตกลงกันไว้ - <i>อเนสซิกซ์ ปีศาจเดินดิน</i>"

		//PHANTOM ASSASSIN
		"dac_ability_phantom_assassin_coup_de_grace"							"ปลิดชีพ"
		"dac_ability_phantom_assassin_coup_de_grace_Description"				"ติดตัว: แฟนท่อมแอสซาสซินมีโอกาส {s:crit_chance}% ที่จะโจมตีศัตรูอย่างรุนแรงด้วยการโจมตีคริติคอล {s:crit_bonus}%"
		"dac_ability_phantom_assassin_coup_de_grace_Lore"						"เธอเป็นคนลอบสังหารเควอร์เธียส แล้วเหตุใดข้าถึงไม่ควรคิดว่าเธอจะมาหาข้าเช่นกัน - <i>โอเนีย แม่ค้าผู้หวาดระแวง</i>"

		//DROW RANGER
		"dac_ability_drow_ranger_trueshot_aura"									"ออรานำวิถี"
		"dac_ability_drow_ranger_trueshot_aura_Description"						"ติดตัว: ดราวเรนเจอร์เพิ่มโบนัสความเร็วในการโจมตี {s:bonus}% แก่ฝ่ายเดียวกันทั้งหมดที่อยู่ในระยะ {s:range} ช่อง"
		"dac_ability_drow_ranger_trueshot_aura_Lore"							"แทร็กซิกส์ เจ้ากับข้าจะต้องไปถึงจุดสูงสุดเป็นแน่แท้ เชื่อข้าเถิด - <i>เกร็ก พ่อค้าน้ำมันจิ้งเหลน</i>"

		//MORPHLING
		"dac_ability_morphling_waveform"										"ร่างคลื่น"
		"dac_ability_morphling_waveform_Description"							"มอร์ฟลิงเปลี่ยนรูปกลายเป็นของเหลวแล้วพุ่งไปข้างหน้า สร้างความเสียหาย {s:damage} หน่วยแก่ยูนิตศัตรูที่ในเส้นทาง<br><br>มอร์ฟลิงจะเป็นอมตะระหว่างที่ใช้ร่างคลื่น"
		"dac_ability_morphling_waveform_Lore"									"ความสามารถของทูราธในการวอนขอสิ่งต่าง ๆ กับเหล่าประเภทมอร์ฟลิงนั้นมัน...เป็นปัญหา - <i>ไควเอท เครื่องจักรนักสมรู้ร่วมคิด</i>"

		//AXE
		"dac_ability_axe_berserkers_call"										"เสียงเรียกนักรบคลั่ง"
		"dac_ability_axe_berserkers_call_Description"							"แอกซ์ยั่วให้ศัตรูที่อยู่ในระยะ {s:radius} ช่องเข้ามาโจมตีเป็นเวลา {s:duration} วินาที  ในขณะที่สกิลเสียงเรียกนักรบคลั่งกำลังทำงาน แอกซ์จะได้เกราะป้องกันเพิ่มขึ้น {s:bonus_armor} หน่วย"
		"dac_ability_axe_berserkers_call_Lore"									"การขอความช่วยเหลือจากแอกซ์นั้นง่ายนิดเดียว... สิ่งที่เจ้าต้องมีทั้งหมดคือเบียร์และคำสัญญาว่าจะเกิดเรื่องราวดี ๆ ที่เขาจะไปคุยโม้ได้ - <i>เร็น กบฎผู้ปลุกขวัญ</i>" 

		//RAZOR
		"dac_ability_razor_plasma_field"										"สนามพลาสมา"
		"dac_ability_razor_plasma_field_Description"							"เรเซอร์ปล่อยวงแหวนพลาสมาออกมาโดยมีพลังมากขึ้นเมื่อขยายตัว และปล่อยพลังช่วงที่หดกลับเข้ามาเช่นกัน ลดความเร็วและสร้างความเสียหายสูงสุด {s:damage_max} หน่วยแก่ศัตรูที่อยู่ในระยะ {s:radius} ช่อง<br><br>ความเสียหายและอัตราช้าลงจะเพิ่มมากขึ้นตามระยะห่างจากตัวเรเซอร์<br><br>สนามพลาสมาสามารถโดนยูนิตแต่ละตัวได้สองครั้ง ขณะขยายตัวและขณะหดกลับทิศทางละครั้ง"
		"dac_ability_razor_plasma_field_Lore"									"หากเจ้าคิดว่าเขาน่ากลัวแม้แต่ตามถนนในไวท์สไปร์แล้วละก็ เจ้าควรจะได้เห็นสิ่งที่เขาทำในแนร์โรว์เมซ - <i>อเนสซิกซ์ ผู้ชื่นชอบกีฬา</i>"

		//CRYSTAL MAIDEN
		"dac_ability_crystal_maiden_brilliance_aura"							"ออราพลังลี้ลับ"
		"dac_ability_crystal_maiden_brilliance_aura_Description"				"ติดตัว: ในทุก {s:interval} วินาที คริสตัลเมเดนเพิ่มมานา {s:mana_regen} หน่วยให้กับยูนิตฝ่ายเดียวกันทั้งหมด"
		"dac_ability_crystal_maiden_brilliance_aura_Lore"						"ไปสืบมาสิว่านางมาหาข้าหรือทูราธ - <i>จุล คนขนของเถื่อนแห่งไอซ์แร็ก</i>"

		"dac_ability_crystal_maiden_frostbite"									"เคลือบน้ำแข็ง"
		"dac_ability_crystal_maiden_frostbite_Description"						"ขังยูนิตศัตรูไว้ในก้อนน้ำแข็ง ทำให้เคลื่อนที่หรือโจมตีไม่ได้ พร้อมทั้งได้รับความเสียหาย {s:total_damage} หน่วยต่อวินาทีเป็นเวลา {s:duration} วินาที"
		"dac_ability_crystal_maiden_frostbite_Lore"								"ที่มาเคลือบน้ำแข็ง"

		//KUNKKA
		"dac_ability_kunkka_ghostship"											"เรือภูตผี"
		"dac_ability_kunkka_ghostship_Description"								"กังค์ก้าอัญเชิญเรือผีสิงออกมาพุ่งฝ่าเข้าไปในสนามรบก่อนที่จะชนกับพื้นที่เป้าหมาย สร้างความเสียหาย {s:ability_damage} หน่วยและสตันศัตรูที่อยู่ในระยะ {s:ghostship_crash_cells} ช่องจากตำแหน่งซากเรือเป็นเวลา {s:stun_duration} วินาที"
		"dac_ability_kunkka_ghostship_Lore"										"หม่าม้าอีบมีเพื่อนมากมาย... กังค์ก้าต้องการคำตอบอย่างยิ่งเช่นเดียวกับข้า - <i>เร็น ลูกสาวผู้ล้างแค้น</i>"

		//TINY
		"dac_ability_tiny_toss"													"โยน"
		"dac_ability_tiny_toss_Description"										"ไทนีจับยูนิตสุ่มที่อยู่ติดกับเขา แล้วโยนไปยังศัตรูเป้าหมายที่อยู่ไกลที่สุด<br><br>เมื่อลงถึงพื้น เป้าหมายจะสร้างความเสียหาย {s:damage} หน่วยแก่ศัตรูทั้งหมดที่อยู่ในระยะ {s:damage_radius} ช่อง และสตันพวกมันเป็นเวลา {s:stun_duration} วินาที"
		"dac_ability_tiny_toss_Lore"											"เหมือนว่าเอ็นโนได้กล้ามเนื้อมาเป็นพวกซะแล้ว - <i>เมื่อเกร็กพบกับปัญหาใหญ่</i>"

		//PUCK
		"dac_ability_puck_illusory_orb"											"ลูกแก้วลวง"
		"dac_ability_puck_illusory_orb_Description"								"พั๊กปล่อยลูกแก้วเวทมนตร์ลอยตรงไปข้างหน้า และสร้างความเสียหาย {s:damage} หน่วยไปตลอดทาง"
		"dac_ability_puck_illusory_orb_Lore"									"อย่าให้รูปร่างภายนอกหลอกเจ้าได้ พั๊กมันเป็นพวกสารเลว - <i>เมื่อฮอบเกนแบ่งปันปัญญาเล็กน้อย</i>"

		"dac_ability_puck_phase_shift"											"ผลัดรูป"
		"dac_ability_puck_phase_shift_Description"								"<i>ปลดล็อคโดยพลังผสานมังกร</i><br>ติดตัว: ชั่วครู่หนึ่งก่อนจะได้รับความเสียหาย พั๊กย้ายไปยังมิติอื่นชั่วขณะ ซึ่งจะได้รับการป้องกันจากอันตรายต่าง ๆ เป็นเวลา {s:shift_duration} วินาที"
		"dac_ability_puck_phase_shift_Lore"										"เจ้าตัวจ้อยบ้านี้ไม่เคยอยู่เมื่อมีคนต้องการตัวมันเลย - <i>ฮอบเกน อันเดอร์ลอร์ดใจร้อน</i>"

		//CLOCKWERK
		"dac_ability_clockwerk_battery_assault"									"แบตเตอรี่จู่โจม"
		"dac_ability_clockwerk_battery_assault_Description"						"คล็อกเวิร์กปลดปล่อยเศษกระสุนพลังสูงแก่ศัตรูใกล้เคียงแบบสุ่มที่อยู่ในระยะ {s:radius_in_cells} ช่องทุก ๆ {s:damage_tick} วินาที ต่อ {s:duration} วินาที สร้างความเสียหายเวทมนตร์ {s:damage} หน่วยและมินิสตัน"
		"dac_ability_clockwerk_battery_assault_Lore"							"บราซเฮรัลด์คงคิดว่าเจ้าน่าขยะแขยง แต่ข้าคิดว่าเจ้าค่อนข้างฉลาดเลยทีเดียว เจ้าคีนตัวน้อย - <i>ไควเอท มนุษย์กลนอกรีต</i>"

		//LICH
		"dac_ability_lich_chain_frost"											"น้ำแข็งชิ่งตรวน"
		"dac_ability_lich_chain_frost_Description"								"ลิชปล่อยลูกพลังน้ำแข็งที่สามารถชิ่งไปมาระหว่างศัตรูที่อยู่ใกล้เคียงได้ถึง {s:jumps} ครั้ง ลดความเร็วในการเคลื่อนที่และโจมตีของศัตรูที่โดน {s:slow_value}% เป็นเวลา {s:slow_duration} วินาที และสร้างความเสียหาย {s:damage} หน่วยในแต่ละครั้ง"
		"dac_ability_lich_chain_frost_Lore"										"เราสามารถช่วยเหลือกันได้ ลิช - <I>เมื่อทูราธทำสัญญามาร</i>"

		//TIDEHUNTER
		"dac_ability_tidehunter_ravage"											"หนวดผุดวิปโยค"
		"dac_ability_tidehunter_ravage_Description"								"ไทด์ฮันเตอร์ทุบพื้น ทำให้เกิดหนวดขนาดยักษ์จำนวนมากพุ่งขึ้นมาทุกทิศทาง สร้างความเสียหาย {s:damage} หน่วยและสตันศัตรูทั้งหมดที่อยู่ในระยะ {s:cells} ช่องเป็นเวลา {s:duration} วินาที"
		"dac_ability_tidehunter_ravage_Lore"									"กังค์ก้า ข้าชอบเจ้าตอนที่ยังไม่ได้โดนเลวีอาธานไล่ล่ามากกว่านะ - <i>เร็น เพื่อนกินที่หาง่าย</i>"

		//SHADOWSHAMAN
		"dac_ability_shadow_shaman_voodoo"										"เฮกซ์"
		"dac_ability_shadow_shaman_voodoo_Description"							"แชโดว์ชาแมนสาปศัตรูให้กลายเป็นสัตว์ไร้พิษสง ทำให้ไม่สามารถโจมตีและใช้สกิลได้เป็นเวลา {s:duration} วินาที"
		"dac_ability_shadow_shaman_voodoo_Lore"									"คนนี้นี่แหละที่รู้วิธีการแสดงโชว์จนเห็นชัด! - <i>เมื่อเกร็กแสดงมารยาทอย่างมืออาชีพ</i>"

		//ENIGMA
		"dac_ability_enigma_midnight_pulse"										"สนามชีพจรยามค่ำคืน"
		"dac_ability_enigma_midnight_pulse_Description"							"อีนิกมาปกคลุมพื้นที่ด้วยการสั่นพ้องของความมืด สร้างความเสียหาย {s:damage_percent}% ของพลังชีวิตสูงสุดของศัตรูเป็นเวลา {s:duration} วินาทีแก่ยูนิตศัตรูทั้งหมดที่อยู่ในระยะ {s:radius} ช่องจากเป้าหมาย"
		"dac_ability_enigma_midnight_pulse_Lore"								"มีบางสิ่งในโลกนี้ที่เจ้าไม่สามารถควบคุมได้ - <i>ทูราธ นักเวทคลั่ง</i>"

		//TINKER
		"dac_ability_tinker_heat_seeking_missile"								"มิสไซล์ตรวจจับความร้อน"
		"dac_ability_tinker_heat_seeking_missile_Description"					"ทิงเกอร์ระดมยิงจรวดใส่ศัตรูสุ่ม {s:targets} ตัว สร้างความเสียหาย {s:damage_per_missile} หน่วยเมื่อโดน"
		"dac_ability_tinker_heat_seeking_missile_Lore"							"สมาคมคีนโฟล์กผู้ร่วมความคิดจิตใจจะเป็นปัญหาแน่หากพวกมันไม่ถูกขัดขวาง - <i>เมื่อโอเนียพยายามสร้างแนวร่วม</i>"

		//SNIPER
		"dac_ability_sniper_assassinate"										"ลอบสังหาร"
		"dac_ability_sniper_assassinate_Description"							"สไนเปอร์เล็งไปที่ยูนิตศัตรูหนึ่งตัวเป็นเวลา {s:castPoint} วินาที จากนั้นยิงกระสุนอันรุนแรงที่สามารถสร้างความเสียหาย {s:damage} หน่วยและมินิสตันเป้าหมาย"
		"dac_ability_sniper_assassinate_Lore"									"คือข้าก็เคยเอาคีนมาเล่นการแสดงเปิดนะ ดีต่อผู้ชมเลย แต่ไม่ดีต่อการประกันภัยความรับผิดน่ะสิ - <i>เกร็ก มุ่งเน้นที่ผลลัพธ์</i>"

		//NECROLYTE
		"dac_ability_necrophos_death_pulse"										"คลื่นแห่งความตาย"
		"dac_ability_necrophos_death_pulse_Description"							"เนโครโฟสปล่อยคลื่นพลังมรณะไปรอบ ๆ ตัว ส่งผลต่อยูนิตศัตรูและฝ่ายเดียวกันที่อยู่ในระยะ {s:radius} ช่อง<br><br>คลื่นแห่งความตายสร้างความเสียหาย {s:damage} หน่วยให้กับศัตรู และรักษาพลังชีวิตให้กับฝ่ายเดียวกัน {s:heal} หน่วย"
		"dac_ability_necrophos_death_pulse_Lore"								"โปรดเถิด เนโครโฟส มันต้องมีอะไรสักอย่างที่เจ้าต้องการสิ... - <i>อเนสซิกซ์ อสูรลิ้นทอง</i>"

		//SLARDAR
		"dac_ability_slardar_amplify_damage"									"หมอกกัดกร่อน"
		"dac_ability_slardar_amplify_damage_Description"						"สลาร์ดาร์เปลี่ยนแปลงเกราะป้องกันศัตรู {s:armor_reduction} หน่วยเป็นเวลา {s:duration} วินาที"
		"dac_ability_slardar_amplify_damage_Lore"								"ข้ากับสลาร์กเคยทำธุรกิจกันมาแล้ว ข้ามั่นใจว่าสุดท้ายแล้วเราจะสามารถตกลงได้เช่นกัน - <i>จุล ผู้คลั่งไคล้ไวน์พรูโน่</i>"

		//BEASTMASTER
		"dac_ability_beastmaster_wild_axes"										"ขวานป่า"
		"dac_ability_beastmaster_wild_axes_Description"							"บีสต์มาสเตอร์ขว้างขวานคู่ออกไปเหมือนบูมเมอแรง สร้างความเสียหายกับศัตรูตามแนวที่ขวานผ่านเป็นจำนวน {s:axe_damage} หน่วย<br><br>ขวานแต่ละเล่มสร้างความเสียหายได้ 1 ครั้งต่อศัตรู 1 ตัว และทำให้ศัตรูที่โดนได้รับความเสียหายตามมาจากบีสต์มาสเตอร์เพิ่มขึ้น {s:damage_amp}%"
		"dac_ability_beastmaster_wild_axes_Lore"								"จะมีพวกบ้าธรรมชาติยอมช่วยเหลือเจ้าแคระนั่นอีกสักกี่คน? - <i>เมื่อเกร็กบ่นเกี่ยวกับเอ็นโน</i>"

		//VENOMANCER
		"dac_ability_venomancer_plague_ward"									"วอร์ดกาฬโรค"
		"dac_ability_venomancer_plague_ward_Description"						"เวนอมแมนเซอร์อัญเชิญวอร์ดกาฬโรค {s:num_wards} ต้นออกมาต่อสู้เคียงข้างเขา"
		"dac_ability_venomancer_plague_ward_Lore"								"งานสรรค์สร้างของท่านช่างสวยงามน่าดูชม ให้ข้าช่วยเพาะปลูกสวนของท่านเถิด... - <i>เมื่อทูราธเรียนรู้ว่าคำเยินยอนั้นช่วยเหลือได้ทุกอย่าง</i>"

		"dac_ability_venomancer_venomous_gale"									"ลมพิษ"
		"dac_ability_venomancer_venomous_gale_Description"						"ปล่อยลูกบอลพิษออกไปเป็นแนวเส้นตรง ยูนิตศัตรูที่โดนจะรับความเสียหาย {s:projectile_damage} หน่วยพร้อมทั้งความเสียหาย {s:tick_damage} หน่วยในทุก {s:tick_interval} วินาทีในช่วงเวลา {s:tick_duration} วินาที ยูนิตที่ได้รับผลจะเคลื่อนที่ช้าลง {s:movement_slow}% และโจมตีช้าลง {s:attack_slow} หน่วย"
		"dac_ability_venomancer_venomous_gale_Lore"								"ไม่ไม่ไม่ ถ้าเราจัดเจ้านั่นไว้ในเวทีกลางแล้วผู้ชมกว่าครึ่งก็คงล้มตายกันวายวอด หาคนอื่นดีกว่า - <i>เมื่อเกร็กไตร่ตรองหาผู้ที่เหมาะสมมาแทนซุนหงอคง</i>"

		//TEMPLAR ASSASSIN
		"dac_ability_templar_assassin_refraction"								"เกราะหักเห"
		"dac_ability_templar_assassin_refraction_Description"					"เทมพลาร์แอสซาสซินแปรเปลี่ยนไปจนยากที่จะอธิบาย หลีกเลี่ยงความเสียหายและเพิ่มพลังโจมตีให้แก่ตัวเธอเอง {s:bonus_damage}%<br><br>พลังโจมตีและผลการหลีกเลียงความเสียหายจะนับแยกกัน แต่ละอย่างจะแสดงผลได้ {s:instances} ครั้ง"
		"dac_ability_templar_assassin_refraction_Lore"							"หากเจ้าช่วยเหลือข้า หนี้สินบุญคุณของเราจะถือว่าเสมอกัน - <i>เมื่อเร็นตามหาความช่วยเหลือเท่าที่เธอทำได้</i>"

		"dac_ability_templar_assassin_meld"										"พรางตัว"
		"dac_ability_templar_assassin_meld_Description"							"ติดตัว: หลังจากเทเลพอร์ตไปยังเป้าหมายของเธอ เทมพลาร์แอสซาสซินสร้างความเสียหายเพิ่มเติม {s:damage} หน่วยในการโจมตีครั้งแรกของเธอ และลดเกราะป้องกันของเป้าหมายของเธอ {s:armor_debuff} หน่วยเป็นเวลา {s:armor_debuff_duration} วินาที"
		"dac_ability_templar_assassin_meld_Lore"								"พรสวรรค์ของเจ้าทำให้เจ้านั้นเหมาะเจาะอย่างเฉพาะพิเศษกับสิ่งที่ข้ามีอยู่ในใจเลยล่ะ - <i>เมื่ออเนสซิกซ์มอบข้อเสนองาน</i>"
		
		//VIPER
		"dac_ability_viper_viper_strike"										"ไวเปอร์พ่นพิษ"
		"dac_ability_viper_viper_strike_Description"							"พิษกรดของไวเปอร์สามารถทำให้ศัตรูเคลื่อนที่และโจมตีได้ช้าลง {s:bonus_attack_speed}% พร้อมทั้งรับความเสียหายพิษต่อเนื่อง {s:damage} หน่วย<br><br>ผลที่ทำให้ช้าจะค่อย ๆ น้อยลงเมื่อเวลาผ่านไป"
		"dac_ability_viper_viper_strike_Lore"									"เราไม่ได้ต่างกันมาก... ข้าก็รู้เช่นกันว่าการเป็นทาสมันเป็นอย่างไร - <i>ไควเอท มนุษย์กลจอมอุบาย</i>"

		"dac_ability_viper_nethertoxin"											"พิษแห่งอเวจี"
		"dac_ability_viper_nethertoxin_Description"								"ไวเปอร์พ่นพิษใส่หนึ่งช่อง สร้างความเสียหาย {s:damage} หน่วยต่อวินาทีแก่ยูนิตศัตรูใดก็ตามในช่องดังกล่าว ทำให้ยูนิตนั้นติดราก และปิดการทำงานของโบนัสติดตัว"
		"dac_ability_viper_nethertoxin_Lore"									"ระวังตัวไว้สลาร์ก หากลองดีมาปล้นข้า เจ้าจะได้จบไม่สวยแน่ - <i>เมื่อโอเนียเปิดเผยตัวนักกล้ามรับจ้างของเธอ</i> "

		"dac_ability_viper_corrosive_skin"										"หนังพิษกัดกร่อน"
		"dac_ability_viper_corrosive_skin_Description"							"<i>ปลดล็อคโดยพลังผสานมังกร</i><br>ติดตัว: ไวเปอร์ปล่อยพิษออกมาตามผิวหนังซึ่งสร้างความเสียหาย {s:damage_per_second} หน่วยต่อวินาทีและลดความเร็วในการโจมตีของศัตรูใดก็ตามที่สร้างความเสียหายแก่ไวเปอร์เป็นเวลา {s:dot_duration} วินาที พิษนี้ยังทำให้ไวเปอร์มีความต้านทานเวทมนตร์เพิ่มขึ้น {s:magic_resistance} หน่วยอีกด้วย"
		"dac_ability_viper_corrosive_skin_Lore"									"คงจะดีหากข้ามีโอกาสคิดค้นวิธีทำเสื้อโค้ทจากเจ้านี่... - <i>คาร์ล ผู้มีความฝันยิ่งใหญ่</i>"

		//LUNA
		"dac_ability_luna_moon_glaive"											"กงจักรแห่งจันทรา"
		"dac_ability_luna_moon_glaive_Description"								"ติดตัว: กงจักรของลูนาชิ่งไปมา {s:bounces} ครั้ง ระหว่างศัตรูหลายตัวที่อยู่ในระยะ {s:range} ช่อง<br><br>กงจักรจะสร้างความเสียหายน้อยลง {s:damage_reduction_percent}% ในการชิ่งแต่ละครั้ง"
		"dac_ability_luna_moon_glaive_Lore"										"ข้าเข้าใจในสิ่งที่เจ้าพูดแค่ประมาณครึ่งนึงได้ แต่ข้าชอบวิธีที่เจ้าโยนอาวุธพวกนั้น - <i>เกร็ก คนค้นคน</i>"

		//DRAGON KNIGHT
		"dac_ability_dragon_knight_breathe_fire"								"พ่นเพลิง"
		"dac_ability_dragon_knight_breathe_fire_Description"					"พ่นไฟโจมตีศัตรูที่อยู่ด้านหน้าของดราก้อนไนต์ เผาผลาญศัตรูด้วยความเสียหาย {s:damage} หน่วยและลดพลังโจมตีของพวกเขา {s:attack_reduction} หน่วยเป็นเวลา {s:duration} วินาที"
