"lang"
{ 
	"Language" "hungarian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Automatikus támadás"
		"dac_ability_crystal_maiden_frostbite_Lore"								"Sok minden történik Fehér Toronyban, könnyű néha lemaradni dolgokról. Például, a jégtönki Kristályhajadon régebben csak segítette az embereket, de a jelek szerint mostanában meg fagyasztgatja őket, ami nekem újdonság volt. - <i>Carl, aki utolsónak tudja meg</i>"

		//KUNKKA
		"dac_ability_kunkka_ghostship"											"Kísértethajó"
		"dac_ability_kunkka_ghostship_Description"								"Kunkka kísértethajót idéz meg, amely keresztülhajózik a csatán, mielőtt szétzúzódna, {s:ability_damage} sebzést okozva, és a roncstól {s:ghostship_crash_cells} mezőn belül levőket {s:stun_duration} másodpercre megbénítva."
		"dac_ability_kunkka_ghostship_Lore"										"Eeb mamának sok barátja volt... Kunkka ugyanannyira válaszokat akar, mint én. - <i>Wren, bosszúszomjas leány</i>"

		//TINY
		"dac_ability_tiny_toss"													"Hajítás"
		"dac_ability_tiny_toss_Description"										"Pici véletlenszerűen felkap egy szomszédos ellenséget, és a legtávolabbi ellenséges cél felé hajítja.<br><br>Az elhajított egység becsapódáskor {s:damage} sebzést okoz minden ellenségnek {s:damage_radius} mezőn belül, és {s:stun_duration} másodpercre megbénítja őket."
		"dac_ability_tiny_toss_Lore"											"Úgy látszik, Enno talált magának valami verőembert. - <i>Grek, nagy problémába ütközve</i>"

		//PUCK
		"dac_ability_puck_illusory_orb"											"Csalóka gömb"
		"dac_ability_puck_illusory_orb_Description"								"Puck elindít egy mágikus gömböt, ami egyenes vonal mentén lebegve {s:damage} sebzést okoz az útvonalán levő ellenséges egységeknek."
		"dac_ability_puck_illusory_orb_Lore"									"Ne hagyjátok, hogy a kinézete megtévesszen. Puck egy igazi szemétláda. - <i>Hobgen bölcs szavai</i>"

		"dac_ability_puck_phase_shift"											"Fázisváltás"
		"dac_ability_puck_phase_shift_Description"								"<i>A SÁRKÁNY SZÖVETSÉGGEL FELOLDVA</i><br>PASSZÍV: Mielőtt sebzést szenvedne, Puck rövid időre egy másik dimenzióba ugrik, ahol {s:shift_duration} másodpercig immunis a sebzéssel szemben."
		"dac_ability_puck_phase_shift_Lore"										"A kis semmirekellő mindig eltűnik, amikor szükség lenne rá. - <i>Hobgen, türelmetlen bandavezér</i>"

		//CLOCKWERK
		"dac_ability_clockwerk_battery_assault"									"Tüzérségi támadás"
		"dac_ability_clockwerk_battery_assault_Description"						"Óraműves {s:damage_tick} másodpercenként nagy erejű repeszeket lövell {s:radius_in_cells} mezőn belüli véletlenszerű ellenséges egységek felé {s:duration} másodpercen át, {s:damage} mágikus sebzést és minibénítást okozva nekik."
		"dac_ability_clockwerk_battery_assault_Lore"							"A Bronz Hírnök förtelmesnek nevezne, de szerintem igen okos vagy, kicsi buzgó. - <i>Csöndes, eretnek gépezet</i>"

		//LICH
		"dac_ability_lich_chain_frost"											"Láncfagyasztás"
		"dac_ability_lich_chain_frost_Description"								"Holtmágus fagygömböt indít el, ami legfeljebb {s:jumps} alkalommal megpattan a közeli ellenséges egységek között, {s:slow_duration} másodpercre {s:slow_value}%-kal csökkentve támadási és mozgási sebességüket, és minden találattal {s:damage} sebzést okozva."
		"dac_ability_lich_chain_frost_Lore"										"Segítségére lehetünk egymásnak, Holtmágus. - <I>Turath, fausti alkut kötve</i>"

		//TIDEHUNTER
		"dac_ability_tidehunter_ravage"											"Dúlás"
		"dac_ability_tidehunter_ravage_Description"								"Dagályvadász a földre csap, amitől csápok törnek elő minden irányban, {s:cells} mezőn belül {s:damage} sebzést okozva és {s:duration} másodpercre megbénítva minden ellenséges egységet."
		"dac_ability_tidehunter_ravage_Lore"									"Kunkka, jobban kedveltelek, amikor még nem vadászott rád egy leviatán. - <i>Wren, az érdekbarát</i>"

		//SHADOWSHAMAN
		"dac_ability_shadow_shaman_voodoo"										"Átok"
		"dac_ability_shadow_shaman_voodoo_Description"							"Árnysámán ártalmatlan lénnyé változtat egy ellenséges egységet, ami {s:duration} másodpercig nem tud támadni és képességet használni."
		"dac_ability_shadow_shaman_voodoo_Lore"									"Na, ez a fickó tudja, milyen egy rendes műsor! - <i>Grek, kollegiális udvariasságot mutatva</i>"

		"dac_ability_shadow_shaman_mass_serpent_ward"							"Kígyóstrázsatömeg"
		"dac_ability_shadow_shaman_mass_serpent_ward_Description"				"Árnysámán négy Kígyóstrázsa megidézésével csapdába ejt egy ellenséges egységet."
		"dac_ability_shadow_shaman_mass_serpent_ward_Lore"						"At least he's not turning people into chickens anymore - <i>O'nia, Fowl Mood</i>"

		//ENIGMA
		"dac_ability_enigma_midnight_pulse"										"A semmi lüktetése"
		"dac_ability_enigma_midnight_pulse_Description"							"Talány sötét rezonanciával árasztja el a legnagyobb maximális életerejű egység alatti területet, {s:duration} másodpercig maximális életerejük {s:damage_percent}%-ával sebezve a célzott helytől {s:radius} mezőn belül levő összes ellenséges egységet és {s:slow_percent}%-kal lassítva őket."
		"dac_ability_enigma_midnight_pulse_Lore"								"Van néhány olyan dolog ezen a világon, amit nem lehet uralni. - <i>Turath, őrült mágus</i>"

		//TINKER
		"dac_ability_tinker_heat_seeking_missile"								"Hőkövető rakéta"
		"dac_ability_tinker_heat_seeking_missile_Description"					"Bütykölő rakétasorozatot lő ki {s:targets} véletlenszerű ellenségre, találatonként {s:damage_per_missile} sebzést okozva."
		"dac_ability_tinker_heat_seeking_missile_Lore"							"A Hasonlóképp Gondolkodó Buzgónépek Társasága gondot fog okozni, ha nem nézünk a körmükre. - <i>O'nia, megpróbálva egységes fellépést elérni</i>"

		//SNIPER
		"dac_ability_sniper_assassinate"										"Orgyilkosság"
		"dac_ability_sniper_assassinate_Description"							"Mesterlövész {s:castPoint} másodperc alatt célba vesz egy ellenséges egységet, majd pusztító lövést ad le, ami {s:damage} sebzést és minibénítást okot a célponton. Bandavezéreket nem vesz célba."
		"dac_ability_sniper_assassinate_Lore"									"T'od, régebben egy buzgó számmal nyitottam a műsoromat. Közönségvonzónak remek volt, felelősségbiztosítási téren már nem annyira. - <i>Grek, a könyvelési egyenlegre koncentrálva</i>"

		//NECROLYTE
		"dac_ability_necrophos_death_pulse"										"Halálhullám"
		"dac_ability_necrophos_death_pulse_Description"							"Sorvasztó halálhullámot bocsát ki maga körül, ami {s:radius} mezőn belül ellenséges és baráti egységekre is hat.<br><br>Az ellenségeknek {s:damage} sebzést okoz, a szövetségeseket {s:heal} ponttal gyógyítja."
		"dac_ability_necrophos_death_pulse_Lore"								"Ne már, Sorvasztó, biztos van valami, amire vágysz... - <i>Anessix, ékesszóló ördög</i>"

		//SLARDAR
		"dac_ability_slardar_amplify_damage"									"Maró pára"
		"dac_ability_slardar_amplify_damage_Description"						"Slardar {s:duration} másodpercre {s:armor_reduction} ponttal módosítja az ellenség páncélját."
		"dac_ability_slardar_amplify_damage_Lore"								"Slarkkal tudtam üzletelni, biztos, hogy veled is meg tudok alkudni. - <i>Jull, börtönbor-kedvelő</i>"

		//BEASTMASTER
		"dac_ability_beastmaster_wild_axes"										"Fejszeröpte"
		"dac_ability_beastmaster_wild_axes_Description"							"A Vadak Ura elhajítja fejszéit, majd visszahívja azokat, amelyek {s:axe_damage} sebzést okozva vágnak utat az ellenség közt.<br><br>Mindegyik fejsze egyszer találhat el egy ellenséget, és {s:damage_amp}%-kal erősíti a Vadak Urától ezt követően elszenvedett sebzést."
		"dac_ability_beastmaster_wild_axes_Lore"								"Hány ilyen faölelgető áll még be talpnyalónak a kis nyavalyáshoz? - <i>Grek, Ennóra panaszkodva</i>"

		//VENOMANCER
		"dac_ability_venomancer_plague_ward"									"Pestisstrázsa"
		"dac_ability_venomancer_plague_ward_Description"						"Méregszövő {s:num_wards} Pestisstrázsát idéz meg, hogy mellette harcoljanak. A Pestisstrázsák összeadódó mérgezést alkalmaznak célpontjukon."
		"dac_ability_venomancer_plague_ward_Lore"								"Csodálatos látványt nyújtanak a teremtményei. Hadd segítsek gondozni a kertjét... - <i>Turath, ráeszmélve, hogy hízelgéssel mindent el lehet érni</i>"

		"dac_ability_venomancer_venomous_gale"									"Mérgező fuvallat"
		"dac_ability_venomancer_venomous_gale_Description"						"Méreggömböt indít egy vonalban. Az ellenségek {s:projectile_damage} mágikus sebzést szenvednek és megmérgeződnek. A hatás alatt álló egységek {s:tick_duration} másodpercre {s:movement_slow}% mozgási sebességet és {s:attack_slow} támadási sebességet veszítenek."
		"dac_ability_venomancer_venomous_gale_Lore"								"Nem, nem, nem. Ha beküldjük ezt a fickót, a közönség fele holtan végzi. Találj valaki mást. - <i>Grek, megfelelő harcost mérlegelve Szun Vukung helyére</i>"

		"dac_ability_venomancer_poison_sting"									"Méregfullánk"
		"dac_ability_venomancer_poison_sting_Description"						"PASSZÍV: Minden támadás egy összeadódásnyi Mérget alkalmaz a célponton."
		"dac_ability_venomancer_poison_sting_Lore"								"Keep that thing away from Enno, more poison is the last thing the little runt needs... - <i>Hobgen, Not A Fan Of Being Poisoned</i>"

		//TEMPLAR ASSASSIN
		"dac_ability_templar_assassin_refraction"								"Fénytörés"
		"dac_ability_templar_assassin_refraction_Description"					"Templomos Orgyilkos megközelíthetetlenné válik, elkerülve a sebződést és +{s:bonus_damage} támadási sebzésre téve szert.<br><br>A sebzés és az elkerülés különálló hatások, és mindkettőnek {s:instances} példánya van."
		"dac_ability_templar_assassin_refraction_Lore"							"Ha segítesz nekem, törleszted az adósságod. - <i>Wren, minden elérhető segítséget összeszedve</i>"

		"dac_ability_templar_assassin_meld"										"Beolvadás"
		"dac_ability_templar_assassin_meld_Description"							"PASSZÍV: Célpontjához teleportálás után Templomos Orgyilkos {s:damage} többletsebzést okoz első támadásával, és {s:armor_debuff_duration} másodpercre {s:armor_debuff} ponttal csökkenti célpontja páncélját."
		"dac_ability_templar_assassin_meld_Lore"								"Adottságaid páratlanul alkalmassá tesznek arra, amit elterveztem. - <i>Anessix, állásajánlatot téve</i>"
		
		//VIPER
		"dac_ability_viper_viper_strike"										"Viperamarás"
		"dac_ability_viper_viper_strike_Description"							"Vipera savas mérge {s:bonus_attack_speed}%-kal csökkenti egy ellenséges egység mozgási és támadási sebességét, és közben időarányosan {s:damage} méregsebzést is okoz.<br><br>A lassító hatás a méreg időtartama alatt gyengül."
		"dac_ability_viper_viper_strike_Lore"									"Nem különbözünk annyira. Én is tudom, milyen rabszolgának lenni. - <i>Csöndes, cselszövő gépezet</i>"

		"dac_ability_viper_nethertoxin"											"Alvilági méreg"
		"dac_ability_viper_nethertoxin_Description"								"Vipera megmérgez egy mezőt, másodpercenként {s:damage} sebzést okozva az ott levő bármilyen ellenséges egységnek, legyökereztetve azt és megtörést alkalmazva rá."
		"dac_ability_viper_nethertoxin_Lore"									"Vigyázz magadra, Slark... Nem lesz jó vége, ha megpróbálsz engem kirabolni. - <i>O'nia, felfedve a zsoldjában álló erőket</i>"

		"dac_ability_viper_corrosive_skin"										"Maró bőr"
		"dac_ability_viper_corrosive_skin_Description"							"<i>UNLOCKED BY THE DRAGON ALLIANCE</i><br>PASSIVE: Viper exudes an infectious toxin that applies a stack of Poison and slows the attack speed by {s:attack_slow} of any enemy that damages it for {s:dot_duration} seconds. The acid exudate also increases Viper's magic resistance by {s:magic_resistance}."
		"dac_ability_viper_corrosive_skin_Lore"									"Jó lenne kitalálni, hogyan készíthetnék belőle kabátot... - <i>Carl, nagy álmokat szőve</i>"

		//LUNA
		"dac_ability_luna_moon_glaive"											"Holdsarlók"
		"dac_ability_luna_moon_glaive_Description"								"PASSZÍV: Luna sarlói {s:bounces} alkalommal megpattannak {s:range} mezőn belüli ellenséges egységek között.<br><br>A sarlók minden pattanás után {s:damage_reduction_percent}%-kal kevesebbet sebeznek."
		"dac_ability_luna_moon_glaive_Lore"										"Annak, amit mondasz, a felét se értem, de az tetszik, ahogy azokat az izéket hajigálod. - <i>Grek, az emberbarát</i>"

		//DRAGON KNIGHT
		"dac_ability_dragon_knight_breathe_fire"								"Tüzes lehelet"
		"dac_ability_dragon_knight_breathe_fire_Description"					"Tüzes leheletet enged szabadjára Sárkánylovag előtt, ami {s:damage} sebzéssel égeti az ellenségeket, és {s:attack_reduction}%-kal csökkenti támadásaik sebzését {s:duration} másodpercig."
		"dac_ability_dragon_knight_breathe_fire_Lore"							"Davion, olyasvalakire fecsérled a tehetséged, aki nem értékeli annak szépségét, amit csinálsz. - <i>Hobgen, megpróbálva elcsábítani más harcosát</i>"

		"dac_ability_dragon_knight_elder_dragon_form"							"Őssárkány alak"
		"dac_ability_dragon_knight_elder_dragon_form_Description"				"<i>A SÁRKÁNY SZÖVETSÉGGEL FELOLDVA</i><br>PASSZÍV: A harc kezdetén Sárkánylovag felveszi három nagy erejű őssárkány egyikének alakját, ami {s:bonus_movement_speed}%-kal növeli mozgási sebességét, {s:bonus_attack_damage} ponttal támadási sebzését, és új képességeket ad neki.<br><br>Zöld sárkány:\nA támadások {s:corrosive_breath_duration} másodpercen át másodpercenként {s:corrosive_breath_damage} méregsebzést okoznak.<br><br>Vörös sárkány:\nAz ellenségek megmérgezése mellett a támadások a célpont körüli {s:splash_radius} mezőn belül minden ellenséges egységet {s:splash_damage_percent}% sebzéssel sebeznek.<br><br>Kék sárkány:\nAz ellenségek megmérgezése mellett a célponttól {s:frost_aoe} mezőn belüli ellenséges egységek mozgási sebességét {s:frost_bonus_movement_speed}%-kal, támadási sebességét pedig {s:frost_bonus_attack_speed}%-kal csökkenti {s:frost_duration} másodpercig."
		"dac_ability_dragon_knight_elder_dragon_form_Lore"						"Kaden elismerően beszélt rólad, reméljük, méltó vagy a dicséretére. - <i>Wren, Sárkányvára barátja</i>"

		//ENCHANTRESS
		"dac_ability_enchantress_natures_attendants"							"A természet segítői"
		"dac_ability_enchantress_natures_attendants_Description"				"Bűbájos {s:wisp_count} apró lélekből álló felhőt idéz meg, amelyek {s:radius} mezőn belül gyógyítják az összes szövetségest.<br><br>A szövetségesek {s:duration} másodpercen át {s:heal_interval} másodpercenként {s:heal} pontot gyógyulnak."
		"dac_ability_enchantress_natures_attendants_Lore"						"Egy napig se fogja húzni Fehér Toronyban. Egyetlen napig se. - <i>Hobgen, alábecsülve ellenfelét</i>"

		//BOUNTY HUNTER
		"dac_ability_bounty_hunter_shuriken_toss"								"Surikendobás"
		"dac_ability_bounty_hunter_shuriken_toss_Description"					"Fejvadász halálos surikent dob egy ellenség felé, {s:damage} sebzést és minibénítást okozva a célpontnak."
		"dac_ability_bounty_hunter_shuriken_toss_Lore"							"Amíg van rá pénzed, mindig olyanokban bízz, akiknek a hűségét meg lehet venni. - <i>O'nia kétes bölcsessége</i>"

		//BATRIDER
		"dac_ability_batrider_sticky_napalm"									"Ragacsos napalm"
		"dac_ability_batrider_sticky_napalm_Description"						"Denevérlovas ragacsos olajat dob el, beborítva a földet a becsapódás helyétől {s:radius} mezőn belül. Az olaj összeadódásonként {s:damage} sebzést ad Denevérlovas támadásaihoz, az ellenség mozgási és támadási sebességét pedig {s:movement_speed_pct}%-kal csökkenti.<br><br>A Ragacsos napalm újabb varázslásai tovább növelik a sebzést és a lassítási százalékokat, legfeljebb {s:max_stacks} összeadódásig."
		"dac_ability_batrider_sticky_napalm_Lore"								"Imádom ezt a fickót. IMÁDOM! - <i>Hobgen, piromániás</i>"

		//DOOM BRINGER
		"dac_ability_doom_bringer_doom"											"Doom"
		"dac_ability_doom_bringer_doom_Description"								"Végzet nagy erejű átokkal meggátol egy ellenséget a varázslásban és megtöri azt, közben másodpercenként {s:damage} sebzést is okozva neki.<br><br>{s:duration} másodpercig tart."
		"dac_ability_doom_bringer_doom_Lore"									"Én jobb szeretek metaforikus ördögökkel alkudozni... - <i>O'nia, Anessix szövetségeseit véleményezve</i>"

		//GYROCOPTER
		"dac_ability_gyrocopter_call_down"										"Légicsapás"
		"dac_ability_gyrocopter_call_down_Description"							"Girokopteres rakétatámadást hajt végre, a becsapódás helyétől {s:radius} mezőn belül minden ellenséget sebezve.<br><br>Két rakéta érkezik egymás után, az első {s:damage_first} sebzést és {s:slow_duration_first} másodpercre {s:slow_first}% lassítást, a második pedig {s:damage_second} sebzést és {s:slow_duration_second} másodpercre {s:slow_second}% lassítást okoz."
		"dac_ability_gyrocopter_call_down_Lore"									"Gondolj bele, mennyi árut tudnánk megmozgatni a segítségével. - <i>Jull, távlatokban gondolkodva</i>"

		//ALCHEMIST
		"dac_ability_alchemist_acid_spray"										"Savzuhany"
		"dac_ability_alchemist_acid_spray_Description"							"Alkimista nagy nyomású savat permetez, ami a célponttól {s:radius} mezőn belüli összes ellenségre hat.<br><br>A szennyezett területre lépő ellenséges egységek másodpercenként {s:damage} sebzést szenvednek, páncéljuk pedig {s:armor_reduction} ponttal csökken."
		"dac_ability_alchemist_acid_spray_Lore"									"Te emberek arcát szereted leégetni, én meg emberek otthonát szeretem felégetni... Egymásnak teremtettünk. - <i>Hobgen, áthidalva egy kulturális szakadékot</i>"

		// Lycan
		"dac_ability_lycan_wolf_spawn_shift"									"Alakváltás"
		"dac_ability_lycan_wolf_spawn_shift_Description"						"Likantróp megidéz két farkast, majd átalakul, maximális életereje {s:hp_per}%-ot nő, mozgási sebessége {s:speed} lesz, és {s:crit_chance}% esélyt kap {s:crit_bonus}% sebzésű kritikus találatra."
		"dac_ability_lycan_wolf_spawn_shift_Lore"								"Kérlek, Likantróp, segíts bosszút állnom. - <i>Wren, Likantróp emberségére apellálva</i>"
		
		// LONE DRUID
		"dac_ability_lone_druid_summon_bear"									"Lélekmedve idézése"
		"dac_ability_lone_druid_summon_bear_Description"						"Megidéz egy erős lélekmedve társat."
		"dac_ability_lone_druid_summon_bear_Lore"								"Csak tartsd tőlem távol a medvét, jó? Medvékkel nem kezdek. - <i>Grek, a medveiszonyos</i>"
		

		//CHAOS KNIGHT
		"dac_ability_chaos_knight_chaos_bolt"									"Káoszlövedék"
