"lang"
{ 
	"Language" "finnish" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Autoattack"
		"dac_ability_sandking_burrowstrike_Description"							"Sand King kaivautuu maahan ja syöksyy eteenpäin, tekee vihollisille {s:damage} vahinkoa ja tainnuttaa ne {s:stun_duration} sekunniksi.<br> Lisää Caustic Finalea kaikkiin osuttuihin vihollisiin."
		"dac_ability_sandking_burrowstrike_Lore"								"Tunneliverkoston rakentaminen oli iso urakka. Sand King ei saa tuhota sitä. – <i>Jull, viinaparoni</i>"

		"dac_ability_sandking_caustic_finale"									"Caustic Finale"
		"dac_ability_sandking_caustic_finale_Description"						"PASSIIVINEN: kun Sand King osuu viholliseen, se myrkyttää vihollisen {s:apply_duration} sekunniksi. Kun myrkyn vaikutus lakkaa, se räjähtää ja levittää {s:damage_aoe} vahinkoa ja hidastaa {s:slow_duration} sekunniksi kaikkien kohteen lähellä olevien vihollisten hyökkäysnopeutta {s:attack_slow} yksiköllä. Vahinko puolittuu, jos kohde on vielä elossa."
		"dac_ability_sandking_caustic_finale_Lore"								"Ei kai kaveri suojapeitteen käyttöön kuole? – <i>Anessix, koskematon infernalisti</i>"

		//SHADOW FRIEND
		"dac_ability_shadow_fiend_requiem"										"Requiem of Souls"
		"dac_ability_shadow_fiend_requiem_Description"							"Shadow Fiend kanavoi kirottujen sielut, vapauttaa ympärilleen demonienergiaa ja tekee {s:damage} vahinkoa kaikille, jotka osuvat energiapamauksen alueelle."
		"dac_ability_shadow_fiend_requiem_Lore"									"Minulla on Ristulin hovin kanssa diili. – <i>Anessix, maallinen demoni</i>"

		//PHANTOM ASSASSIN
		"dac_ability_phantom_assassin_coup_de_grace"							"Coup de Grace"
		"dac_ability_phantom_assassin_coup_de_grace_Description"				"PASSIIVINEN: Phantom Assassinilla on {s:crit_chance} % mahdollisuus jakaa vihollisille {s:crit_bonus} % kriittistä osumaa."
		"dac_ability_phantom_assassin_coup_de_grace_Lore"						"Se tappoi Kwerthiasin. Ihan hyvin se voi jahdata nyt minua. – <i>O'nia, vainoharhainen kauppias</i>"

		//DROW RANGER
		"dac_ability_drow_ranger_trueshot_aura"									"Precision Aura"
		"dac_ability_drow_ranger_trueshot_aura_Description"						"PASSIIVINEN: Drow Ranger lisää {s:bonus} % hyökkäysnopeutta kaikille {s:range} ruudun säteellä oleville liittolaisille."
		"dac_ability_drow_ranger_trueshot_aura_Lore"							"Me pääsemme vielä huipulle, Traxex. Usko pois. – <i>Grek, huijari</i>"

		//MORPHLING
		"dac_ability_morphling_waveform"										"Waveform"
		"dac_ability_morphling_waveform_Description"							"Morphling sulaa nesteeksi, syöksyy eteenpäin ja aiheuttaa tielleen osuville vihollisille {s:damage} vahinkoa.\n\nMorphling on vahingoittumaton Waveformin aikana."
		"dac_ability_morphling_waveform_Lore"									"Huolestuttavaa, että Turath mielistelee Morphlingin kaltaisia palvelusten toivossa. – <i>Quiet, juonittelijarobotti</i>"

		//AXE
		"dac_ability_axe_berserkers_call"										"Berserker's Call"
		"dac_ability_axe_berserkers_call_Description"							"Axe pilkkaa vihollisia {s:radius} ruudun säteellä ja pakottaa ne hyökkäämään kimppuunsa {s:duration} sekunniksi. Axe saa {s:bonus_armor} lisäpanssaria, kun Berserker's Call on aktiivinen."
		"dac_ability_axe_berserkers_call_Lore"									"Axe on aina valmis auttamaan. Riittää, kun se saa olutta ja luvan kertoa hyvän tarinan. – <i>Wren, kiihottajakapinoija</i>" 

		//RAZOR
		"dac_ability_razor_plasma_field"										"Plasma Field"
		"dac_ability_razor_plasma_field_Description"							"Razor purkaa salamakehän, joka voimistuu kasvaessaan ja iskee kipinää kutistuessaan. Se hidastuu ja tekee jopa {s:damage_max} vahinkoa {s:radius} ruudun säteellä oleville vihollisille.<br><br>Vahinko ja hidastus kasvavat sitä mukaa, mitä kauempana Razor on.<br><br> Plasma-aalto osuu jokaiseen kahdesti: kerran kasvaessaan ja toisen kutistuessaan."
		"dac_ability_razor_plasma_field_Lore"									"Jos hän on sinusta pelottava Valkoisen tornin kaduilla, näkisitpä hänet Kapeassa labyrintissa. – <i>Anessix, penkkiurheilija</i>"

		//CRYSTAL MAIDEN
		"dac_ability_crystal_maiden_brilliance_aura"							"Arcane Aura"
		"dac_ability_crystal_maiden_brilliance_aura_Description"				"PASSIVIINEN: Crystal Maiden antaa kaikille liittolaisille {s:mana_regen} mananpalautumista joka {s:interval} sekunti."
		"dac_ability_crystal_maiden_brilliance_aura_Lore"						"Ota selvää, jahtaako se minua vai Turathia. – <i>Jull, Jääraunioiden trokari</i>"

		"dac_ability_crystal_maiden_frostbite"									"Frostbite"
		"dac_ability_crystal_maiden_frostbite_Description"						"Loitsii vihollisen jään sisään, mikä estää vihollista liikkumasta tai hyökkäämästä, ja tekee {s:damage} vahinkoa {s:duration} sekunnin ajan. Frostbiten alaisia kohteita ei voi parantaa."
		"dac_ability_crystal_maiden_frostbite_Lore"								"Valkoisessa tornissa tapahtuu paljon, ja joskus on helppo olla huomaamatta asioita. Jääraunion Crystal Maiden esimerkiksi tapasi vain auttaa lähimmäisiään, mutta nykyisin se ilmeisesti jäädyttää väkeä. Tämä oli minulle uutinen. – <i>Carl, joka saa tietää viimeisenä</i>"

		//KUNKKA
		"dac_ability_kunkka_ghostship"											"Ghostship"
		"dac_ability_kunkka_ghostship_Description"								"Kunkka kutsuu esiin aavelaivan, joka purjehtii halki taistelutantereen, ennen kuin hajoaa kappaleiksi. Se tekee {s:ability_damage} vahinkoa ja tainnuttaa kaikki {s:ghostship_crash_cells} ruudun säteellä hylystä olevat viholliset {s:stun_duration} sekunniksi."
		"dac_ability_kunkka_ghostship_Lore"										"Momma Eebillä oli paljon kavereita. Kunkka janoaa vastauksia yhtä paljon kuin minä. – <i>Wren, kostonhimoinen tytär</i>"

		//TINY
		"dac_ability_tiny_toss"													"Toss"
		"dac_ability_tiny_toss_Description"										"Tiny nappaa sattumanvaraisesti lähellä olevan vihollisen ja nakkaa sen kauimpana olevaa viholliskohdetta kohti.<br><br>Törmäyksessä kohde tekee {s:damage} vahinkoa kaikille vihollisille {s:damage_radius} ruudun säteellä ja tainnuttaa ne {s:stun_duration} sekunniksi."
		"dac_ability_tiny_toss_Lore"											"Ennolla oli näköjään lihaskimppu apunaan. – <i>Grekillä on isommanpuoleinen ongelma</i>"

		//PUCK
		"dac_ability_puck_illusory_orb"											"Illusory Orb"
		"dac_ability_puck_illusory_orb_Description"								"Puck laukaisee suorassa linjassa leijailevan taikapallon, joka aiheuttaa sen tielle osuville vihollisille {s:damage} vahinkoa."
		"dac_ability_puck_illusory_orb_Lore"									"Moni kakku päältä kaunis. Puck on oikeasti roisto. – <i>Hobgen latelee elämänviisauksia</i>"

		"dac_ability_puck_phase_shift"											"Phase Shift"
		"dac_ability_puck_phase_shift_Description"								"<i>LOHIKÄÄRMEIDEN LIITTOUMAN AVAAMA</i><br>PASSIIVINEN: juuri ennen vahingon ottamista Puck vaihtaa toiseen ulottuvuuteen, jossa se on immuuni tämän maailman hyökkäyksille {s:shift_duration} sekunnin ajan."
		"dac_ability_puck_phase_shift_Lore"										"Tämä luupää ei ole koskaan paikalla, kun sitä tarvitaan. – <i>Hobgen, kärsimätön underlordi</i>"

		//CLOCKWERK
		"dac_ability_clockwerk_battery_assault"									"Battery Assault"
		"dac_ability_clockwerk_battery_assault_Description"						"Clockwerk laukaisee voimakkaita sirpaleita sattumanvaraisia vihollisia kohti {s:radius_in_cells} ruudun säteellä {s:damage_tick} sekunnin välein {s:duration} sekunnin ajan sekä tekee {s:damage} loitsuvahinkoa ja minitainnutuksen."
		"dac_ability_clockwerk_battery_assault_Lore"							"Brass Herald kutsuisi sinua iljetykseksi, mutta minusta sinä olet varsin fiksu pikkukeeni. – <i>Quiet, harhaoppinen automaatti</i>"

		//LICH
		"dac_ability_lich_chain_frost"											"Chain Frost"
		"dac_ability_lich_chain_frost_Description"								"Lich vapauttaa jääpallon, joka kimpoaa {s:jumps} kertaa lähellä olevien vihollisten välillä. Se hidastaa {s:slow_duration} sekunniksi niiden hyökkäys- ja liikenopeutta {s:slow_value} % ja tekee {s:damage} vahinkoa jokaisella osumalla."
		"dac_ability_lich_chain_frost_Lore"										"Voimme auttaa toisiamme, Lich. –<i>Turath tekee sopimuksen paholaisen kanssa</i>"

		//TIDEHUNTER
		"dac_ability_tidehunter_ravage"											"Ravage"
		"dac_ability_tidehunter_ravage_Description"								"Tidehunter läimäyttää maata ja lonkerot purkautuvat joka suuntaan. Se tekee {s:damage} vahinkoa ja tainnuttaa kaikki viholliset {s:cells} ruudun säteellä {s:duration} sekunniksi."
		"dac_ability_tidehunter_ravage_Lore"									"Kunkka, olit parempaa seuraa, kun sinulla ei ollut leviathania kintereillä. –<i>Wren, pinnallinen ystävä</i>"

		//SHADOWSHAMAN
		"dac_ability_shadow_shaman_voodoo"										"Hex"
		"dac_ability_shadow_shaman_voodoo_Description"							"Shadow Shaman noituu vihollisen harmittomaksi olennoksi, joka ei voi hyökätä tai käyttää kykyjään {s:duration} sekunnin ajan."
		"dac_ability_shadow_shaman_voodoo_Lore"									"On siinä varsinainen showmies! – <i>Grek kehuu työkaveria</i>"

		//ENIGMA
		"dac_ability_enigma_midnight_pulse"										"Midnight Pulse"
		"dac_ability_enigma_midnight_pulse_Description"							"Enigma levittää {s:radius} ruudun säteelle kohteesta synkän resonanssin, joka tekee vihollisille vahinkoa {s:damage_percent} % niiden enimmäisterveydestä {s:duration} sekunnin ajan."
		"dac_ability_enigma_midnight_pulse_Lore"								"Kaikkea ei voi maailmassa hallita. – <i>Turath, hullu velho</i>"

		//TINKER
		"dac_ability_tinker_heat_seeking_missile"								"Heat-Seeking Missile"
		"dac_ability_tinker_heat_seeking_missile_Description"					"Tinker ampuu ohjuksilla {s:targets} satunnaista vihollista ja tekee osuessaan {s:damage_per_missile} vahinkoa."
		"dac_ability_tinker_heat_seeking_missile_Lore"							"Samanmielisten keenien yhteisö tietää ongelmia, jos sitä ei pidetä silmällä. – <i>O'nia yrittää yhdistää joukot </i>"

		//SNIPER
		"dac_ability_sniper_assassinate"										"Assasinate"
		"dac_ability_sniper_assassinate_Description"							"Sniper tähtää vihollista kohti {s:castPoint} sekunnin ajan ja ampuu sitten tuhoisan laukauksen, joka tekee {s:damage} vahinkoa ja minitainnuttaa kohteen."
		"dac_ability_sniper_assassinate_Lore"									"Minulla oli ennen lämmittelijänä keeni. Yleisö tykkäsi, vakuutusyhtiö ei niinkään. – <i>Grek keskittyy olennaiseen</i>"

		//NECROLYTE
		"dac_ability_necrophos_death_pulse"										"Death Pulse"
		"dac_ability_necrophos_death_pulse_Description"							"Necrophos laukaisee ympärilleen kuolonaallon, joka vaikuttaa vihollisiin ja liittolaisiin jopa {s:radius} ruudun säteellä.<br><br> Death Pulse tekee {s:damage} vahinkoa vihollisille ja parantaa liittolaisia {s:heal}."
		"dac_ability_necrophos_death_pulse_Lore"								"Kakista jo Necrophos. Kyllä sinäkin jotain halajat. – <i>Anessix, lipeväkielinen paholainen</i>"

		//SLARDAR
		"dac_ability_slardar_amplify_damage"									"Corrosive Haze"
		"dac_ability_slardar_amplify_damage_Description"						"Slardar muuttaa {s:duration} sekunniksi vihollisen panssaria {s:armor_reduction}."
		"dac_ability_slardar_amplify_damage_Lore"								"Yhteistyö sujui Slarkin kanssa hyvin, joten kyllä mekin sopimukseen pääsemme. – <i>Jull, kiljufani</i>"

		//BEASTMASTER
		"dac_ability_beastmaster_wild_axes"										"Wild Axes"
		"dac_ability_beastmaster_wild_axes_Description"							"Beastmaster sinkoaa kirveet ilmoille ja kutsuu ne takaisin. Ne silpovat vihollisia ja jakavat {s:axe_damage} vahinkoa.<br><br>Jokainen kirves voi osua viholliseen vain kerran ja vahvistaa Beastmasterin tekemän vahingon määrää {s:damage_amp} prosentilla."
		"dac_ability_beastmaster_wild_axes_Lore"								"Moniko puunhalaaja asettuu rääpäleen puolelle? – <i>Grek valittaa Ennosta</i>"

		//VENOMANCER
		"dac_ability_venomancer_plague_ward"									"Plague Ward"
		"dac_ability_venomancer_plague_ward_Description"						"Venomancer kutsuu {s:num_wards} Plague Wardia taistelemaan rinnallaan."
		"dac_ability_venomancer_plague_ward_Lore"								"Luomuksesi ovat kauniita. Autan sinua puutarhanhoidossa... – <i>Turath tajuaa, että mielistelyllä pääsee pitkälle</i>"

		"dac_ability_venomancer_venomous_gale"									"Venomous Gale"
		"dac_ability_venomancer_venomous_gale_Description"						"Laukaisee myrkkypallon linjassa myrkyttäen viholliset niin, että ne ottavat {s:projectile_damage} vahinkoa sekä {s:tick_damage} vahinkoa joka {s:tick_interval} sekunti {s:tick_duration} sekunnin ajan. Yksiköt menettävät {s:movement_slow} % liikenopeudestaan ja {s:attack_slow} hyökkäysnopeudestaan."
		"dac_ability_venomancer_venomous_gale_Lore"								"Ei, ei, ei. Jos me laitamme tuon kaverin keskelle näyttämöä, puolet yleisöstä kuolee. Etsi joku muu. –<i>Grek punnitsee sopivaa korvaajaa Sun Wukongille</i>"

		//TEMPLAR ASSASSIN
		"dac_ability_templar_assassin_refraction"								"Refraction"
		"dac_ability_templar_assassin_refraction_Description"					"Templar Assassin hämärtää olemuksensa välttääkseen vahinkoa ja saadakseen +{s:bonus_damage} % hyökkäysvahinkoa.<br><br>Vahinko- ja sen välttämistehosteet ovat erillisiä, ja niitä on {s:instances} kutakin."
		"dac_ability_templar_assassin_refraction_Lore"							"Jos autat minua, olemme sujut. – <i>Wren pyytää apua kaikkialta</i>"

		"dac_ability_templar_assassin_meld"										"Meld"
		"dac_ability_templar_assassin_meld_Description"							"PASSIIVINEN: teleportattuaan itsensä kohteensa luo, Templar Assassin tekee {s:damage} ylimääräistä vahinkoa ensimmäisellä hyökkäyksellä ja alentaa {s:armor_debuff_duration} sekunniksi kohteen panssaria {s:armor_debuff}."
		"dac_ability_templar_assassin_meld_Lore"								"Kykysi sopivat täydellisesti suunnitelmiini. – <i>Anessix tekee työtarjouksen</i>"
		
		//VIPER
		"dac_ability_viper_viper_strike"										"Viper Strike"
		"dac_ability_viper_viper_strike_Description"							"Viperin hapan myrkky hidastaa vihollisen liike- ja hyökkäysnopeutta {s:bonus_attack_speed} % sekä tekee samalla {s:damage} myrkkyvahinkoa ajan myötä.<br><br>Hidastustehoste heikkenee myrkyn vaikutuksen keston aikana."
		"dac_ability_viper_viper_strike_Lore"									"Olemme lopulta hyvin samanlaisia. Minäkin tiedän, mitä orjuus on. – <i>Quiet, juonitteleva robotti</i>"

		"dac_ability_viper_nethertoxin"											"Nethertoxin"
		"dac_ability_viper_nethertoxin_Description"								"Viper myrkyttää ruudun ja tekee {s:damage} vahinkoa sekunnissa mille tahansa ruudussa olevalle viholliselle, juurruttaa ne ja käyttää murtamista."
		"dac_ability_viper_nethertoxin_Lore"									"Otapa varovasti Slark. Ryöstöyrityksesi ei tule päättymään sinulle otollisesti. – <i>O'nia paljastaa palkatun lihaskimppunsa</i> "

		"dac_ability_viper_corrosive_skin"										"Corrosive Skin"
		"dac_ability_viper_corrosive_skin_Description"							"<i>LOHIKÄÄRMEIDEN LIITTOUMAN AVAAMA</i><br>PASSIIVINEN: Viper muodostaa tarttuvan myrkyn, tekee {s:damage_per_second} vahinkoa sekunnissa sekä hidastaa vihollisen hyökkäysnopeutta ja vahingoittaaa sitä {s:dot_duration} sekunnin ajan. Hapon erittyminen lisää Viperin loitsunvastustusta {s:magic_resistance} yksiköllä."
		"dac_ability_viper_corrosive_skin_Lore"									"Miten tuosta saisi takin tehtyä...? – <i>Carl unelmoi suurista suunnitelmista</i>"

		//LUNA
		"dac_ability_luna_moon_glaive"											"Moon Glaives"
		"dac_ability_luna_moon_glaive_Description"								"PASSIIVINEN: Lunan heittoterät kimpoilevat {s:bounces} kertaa vihollisesta toiseen {s:range} ruudun säteellä.<br><br>Jokainen pomppu tekee {s:damage_reduction_percent} % vähemmän vahinkoa."
		"dac_ability_luna_moon_glaive_Lore"										"En tajua puoliakaan puheestasi, mutta hienosti sinä heität. – <i>Grek, laumaeläin</i>"

		//DRAGON KNIGHT
		"dac_ability_dragon_knight_breathe_fire"								"Breathe Fire"
		"dac_ability_dragon_knight_breathe_fire_Description"					"Dragon Knight syöksee tulta edessä olevien vihollisten päälle, polttaa vihollisia tehden {s:damage} vahinkoa sekä vähentää niiden hyökkäysvahinkoa {s:attack_reduction} % {s:duration} sekunniksi."
		"dac_ability_dragon_knight_breathe_fire_Lore"							"Davion, ei saa heittää helmiä sioille. – <i>Hobgen yrittää metsästää lahjakkuuksia</i>"

		"dac_ability_dragon_knight_elder_dragon_form"							"Elder Dragon Form"
		"dac_ability_dragon_knight_elder_dragon_form_Description"				"<i>LOHIKÄÄRMEIDEN LIITTOUMAN AVAAMA</i><br>PASSIIVINEN: Dragon Knight ottaa taistelun aluksi yhden kolmesta vanhojen ja voimakkaiden lohikäärmeiden muodoista, mikä lisää sen liikenopeutta {s:bonus_movement_speed} % ja hyökkäysvahinkoa {s:bonus_attack_damage} ja antaa sille uusia voimia.<br><br>Vihreä lohikäärme:\nhyökkäykset tekevät {s:corrosive_breath_damage} myrkkyvahinkoa sekunnissa {s:corrosive_breath_duration} sekunnin ajan.<br><br>Punainen lohikäärme:\nvihollisten myrkyttämisen lisäksi se vahingoittaa kaikkia vihollisia {s:splash_radius} ruudun säteellä kohteesta ja tekee {s:splash_damage_percent} % vahinkoa.<br><br>Sininen lohikäärme:\n vihollisten myrkyttämisen lisäksi se hidastaa {s:frost_duration} sekunniksi {s:frost_aoe} ruudun säteellä olevien vihollisten liikenopeutta {s:frost_bonus_movement_speed} % ja hyökkäysnopeutta {s:frost_bonus_attack_speed} %."
		"dac_ability_dragon_knight_elder_dragon_form_Lore"						"Kaden kehui sinua. Toivottavasti aiheesta. – <i>Wren, lohikäärmeiden ystävä</i>"

		//ENCHANTRESS
		"dac_ability_enchantress_natures_attendants"							"Nature's Attendants"
		"dac_ability_enchantress_natures_attendants_Description"				"Enchantress kutsuu {s:wisp_count} virvatulta, joka parantaa liittolaiset {s:radius} ruudun säteellä.<br><br>Liittolaiset saavat {s:heal} terveyttä {s:heal_interval} sekunnin välein ja {s:duration} sekunnin ajan."
		"dac_ability_enchantress_natures_attendants_Lore"						"Hän ei selviä päivääkään Valkoisessa tornissa. Ei päivääkään. – <i>Hobgen aliarvioi vastustajansa</i>"

		//BOUNTY HUNTER
		"dac_ability_bounty_hunter_shuriken_toss"								"Shuriken Toss"
		"dac_ability_bounty_hunter_shuriken_toss_Description"					"Bounty Hunter heittää vihollista tappavalla heittotähdellä, joka tekee {s:damage} vahinkoa ja minitainnuttaa vihollisen."
		"dac_ability_bounty_hunter_shuriken_toss_Lore"							"Luota siihen, jonka lojaalius on myytävänä, niin kauan kuin rahaa riittää. – <i>O'nia ja kyseenalainen viisaus</i>"

		//BATRIDER
		"dac_ability_batrider_sticky_napalm"									"Sticky Napalm"
		"dac_ability_batrider_sticky_napalm_Description"						"Batrider heittää tahmeaa öljyä, joka peittää maan {s:radius} ruudun säteellä osumakohdasta. Öljy lisää Batriderin iskuun {s:damage} vahinkoa kertaa kohti sekä hidastaa vihollisten liike- ja hyökkäysnopeutta {s:movement_speed_pct} %.<br><br>Sticky Napalmin seuraavat käyttökerrat lisäävät edelleen vahinkoa ja laskevat prosentteja enintään {s:max_stacks} kertaa."
		"dac_ability_batrider_sticky_napalm_Lore"								"Mahtava tyyppi. Kerrassaan mahtava. –<i>Hobgen, pyromaanikko</i>"

		//DOOM BRINGER
		"dac_ability_doom_bringer_doom"											"Doom"
		"dac_ability_doom_bringer_doom_Description"								"Doom langettaa kirouksen, joka estää vihollista käyttämästä loitsuja tai käyttää niihin murtamista. Samalla ne ottavat {s:damage} vahinkoa sekunnissa.<br><br>Kestää {s:duration} sekuntia."
		"dac_ability_doom_bringer_doom_Lore"									"Mieluiten teen sopimuksia vertauskuvallisten demonien kanssa. – <i>O'nia ottaa kantaa Anessixin liittolaisiin</i>"

		//GYROCOPTER
		"dac_ability_gyrocopter_call_down"										"Call Down"
		"dac_ability_gyrocopter_call_down_Description"							"Gyrocopter tekee ohjusiskun, joka osuus kaikkiin {s:radius} ruudun säteellä iskukohdasta oleviin vihollisiin.<br><br>Kaksi ohjusta tulee peräkanaa. Ensimmäinen tekee {s:damage_first} vahinkoa ja hidastaa {s:slow_duration_first} sekunniksi {s:slow_first} %. Toinen tekee {s:damage_second} vahinkoa ja hidastaa {s:slow_second} % {s:slow_duration_second} sekunniksi."
		"dac_ability_gyrocopter_call_down_Lore"									"Mieti, miten tavara liikkuisi, jos hän tulisi apuun. – <i>Jull suunnittelee pitkällä tähtäimellä</i>"

		//ALCHEMIST
		"dac_ability_alchemist_acid_spray"										"Acid Spray"
		"dac_ability_alchemist_acid_spray_Description"							"Alchemist ruiskuttaa korkeapaineista happoa {s:radius} ruudun säteellä kohteesta.<br><br>Saastuneella alueella kulkevat viholliset ottavat {s:damage} vahinkoa sekunnissa, ja niiden panssari heikentyy {s:armor_reduction}."
		"dac_ability_alchemist_acid_spray_Lore"									"Sinä poltat ihmisten kasvoja, minä taloja. Ollaan täydellinen pari. – <i>Hobgen kuroo umpeen kultturierojen kuilun</i>"

		// Lycan
		"dac_ability_lycan_wolf_spawn_shift"									"Shapeshift"
		"dac_ability_lycan_wolf_spawn_shift_Description"						"Lycan muuntautuu ja saa {s:hp_per} % lisää enimmäisterveyteen. Sen liikenopeus kasvaa {s:speed} nopeuteen ja se saa {s:crit_chance} % mahdollisuuden kriittiseen osumaan tehdäkseen {s:crit_bonus} % vahinkoa."
		"dac_ability_lycan_wolf_spawn_shift_Lore"								"Auta minua kostamaan, Lycan. – <i>Wren vetoaa Lycanin inhimillisyyteen</i>"
		
		// LONE DRUID
		"dac_ability_lone_druid_summon_bear"									"Summon Spirit Bear"
		"dac_ability_lone_druid_summon_bear_Description"						"Kutsuu voimakkaan karhukumppanin."
		"dac_ability_lone_druid_summon_bear_Lore"								"Pidä karhu kaukana. En kestä karhuja. – <i>Grek, karhupelkoinen</i>"
		

		//CHAOS KNIGHT
		"dac_ability_chaos_knight_chaos_bolt"									"Chaos Bolt"
		"dac_ability_chaos_knight_chaos_bolt_Description"						"Chaos Knight heittää mystisen energiasalaman, joka tekee {s:damage_min}–{s:damage_max} vahinkoa ja tainnuttaa {s:stun_min}–{s:stun_max} sekunniksi."
		"dac_ability_chaos_knight_chaos_bolt_Lore"								"Pikkukaaos tekisi Valkoiselle tornille terää. – <i>Hobgen, kaaoksen lähettiläs</i>"

		//OGRE MAGI
		"dac_ability_ogre_magi_bloodlust"										"Bloodlust"
		"dac_ability_ogre_magi_bloodlust_Description"							"Ogre Magi yllyttää liittolaisen kiihkoon siten, että sen liikenopeus kasvaa {s:bonus_movement_speed} % ja hyökkäysnopeus lisääntyy {s:bonus_attack_speed} %. Jos loitsua käytetään Ogre Magiin, hyökkäysnopeus on sen sijaan {s:self_bonus} %."
		"dac_ability_ogre_magi_bloodlust_Lore"									"Velho on kaksi kertaa hintansa väärti. Onneksi se on myös idiootti. – <i>O'nia, tarjousten metsästäjä</i>"

		// MAGNUS
		"dac_ability_magnataur_empower"											"Empower"
		"dac_ability_magnataur_empower_Description"								"Magnus vihastuttaa liittolaisen antaen sille {s:bonus_damage_pct} % vahinkoa ja {s:cleave_damage_pct} % halkaisuvahinkoa {s:duration} sekunniksi."
