"lang"
{ 
	"Language" "portuguese" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Ataque Automático"
		"dac_ability_gyrocopter_call_down"										"Lançamento Aéreo"
		"dac_ability_gyrocopter_call_down_Description"							"O Girocóptero lança uma rajada de mísseis aéreos que atingem inimigos dentro de {s:radius} espaços de distância do local de impacto.<br><br>Dois mísseis chegam em sucessão: o primeiro causa {s:damage_first} de dano e {s:slow_first}% de abrandamento durante {s:slow_duration_first} segundos, e o último causa {s:damage_second} de dano e {s:slow_second}% de abrandamento durante {s:slow_duration_second} segundos."
		"dac_ability_gyrocopter_call_down_Lore"									"Imagina quanta mercadoria poderíamos contrabandear com a ajuda dele. <i>Jull a pensar no panorama geral</i>"

		//ALCHEMIST
		"dac_ability_alchemist_acid_spray"										"Spray Ácido"
		"dac_ability_alchemist_acid_spray_Description"							"O Alquimista lança ácido que atinge inimigos dentro de {s:radius} espaços de distância do alvo.<br><br>Inimigos que estiverem no terreno contaminado irão sofrer {s:damage} de dano por segundo e terão menos {s:armor_reduction} de armadura."
		"dac_ability_alchemist_acid_spray_Lore"									"Tu gostas de queimar as caras das pessoas e eu gosto de queimar as casas delas... não há combinação melhor que esta. - <i>Hobgen a juntar o útil ao agradável</i>"

		// Lycan
		"dac_ability_lycan_wolf_spawn_shift"									"Transfiguração"
