"lang"
{
	"Language"		"japanese"
	"Tokens"
	{
		"DAC_ItemType_Default"		"デフォルト"
		"DOTA_Item_Doom_lvl1"		"ドゥーム レベル 1"
		"DOTA_Item_Doom_lvl2"		"ドゥーム レベル 2"
		"DOTA_Item_Doom_lvl3"		"ドゥーム レベル 3"
		"DOTA_Item_Dragon_Knight_lvl1"		"ドラゴンナイト レベル 1"
		"DOTA_Item_Dragon_Knight_lvl2"		"ドラゴンナイト レベル 2"
		"DOTA_Item_Dragon_Knight_lvl3"		"ドラゴンナイト レベル 3"
		"DOTA_Item_Drow_lvl1"		"ドラウ レベル 1"
		"DOTA_Item_Drow_lvl2"		"ドラウ レベル 2"
		"DOTA_Item_Drow_lvl3"		"ドラウ レベル 3"
		"DOTA_Item_Enchantress_lvl1"		"エンチャントレス レベル 1"
		"DOTA_Item_Enchantress_lvl2"		"エンチャントレス レベル 2"
		"DOTA_Item_Enchantress_lvl3"		"エンチャントレス レベル 3"
		"DOTA_Item_Juggernauts_Cape_lvl2"		"ジャガーノートのマント レベル 2"
		"DOTA_Item_Kunkkas_Boots_lvl2"		"Kunkka's Boots lvl2"
		"DOTA_Item_Kunkkas_Hair_lvl2"		"Kunkka's Hair lvl2"
		"DOTA_Item_Kunkkas_Hands_lvl2"		"Kunkka's Hands lvl2"
		"DOTA_Item_Kunkkas_Shoulder_Guard_lvl2"		"Kunkka's Shoulder Guard lvl2"
		"DOTA_Item_Kunkkas_Spyglass_lvl2"		"Kunkka's Spyglass lvl2"
		"DOTA_Item_Kunkkas_Sword_lvl2"		"Kunkka's Sword lvl2"
		"DOTA_Item_Linas_Dress_lvl2"		"Lina's Dress lvl2"
		"DOTA_Item_Linas_Dress_lvl3"		"Lina's Dress lvl3"
		"DOTA_Item_Linas_Hair_lvl2"		"Lina's Hair lvl2"
		"DOTA_Item_Linas_Hair_lvl3"		"Lina's Hair lvl3"
		"DOTA_Item_Linas_Shoulders_lvl2"		"Lina's Shoulders lvl2"
		"DOTA_Item_Linas_Shoulders_lvl3"		"Lina's Shoulders lvl3"
		"DOTA_Item_Linas_Sleeves_lvl2"		"Lina's Sleeves lvl2"
		"DOTA_Item_Linas_Sleeves_lvl3"		"Lina's Sleeves lvl3"
		"DOTA_Item_Luna_lvl1"		"ルナ レベル 1"
		"DOTA_Item_Luna_lvl2"		"ルナ レベル 2"
		"DOTA_Item_Luna_lvl3"		"ルナ レベル 3"
		"DOTA_Item_Lycan_lvl1"		"ライカン レベル 1"
		"DOTA_Item_Lycan_lvl2"		"ライカン レベル 2"
		"DOTA_Item_Lycan_lvl3"		"ライカン レベル 3"
		"DOTA_Item_Natures_Prophet_lvl1"		"ネイチャーズ・プロフェット レベル 1"
		"DOTA_Item_Natures_Prophet_lvl2"		"ネイチャーズ・プロフェット レベル 2"
		"DOTA_Item_Natures_Prophet_lvl3"		"ネイチャーズ・プロフェット レベル 3"
		"DOTA_Item_Ogre_Magis_Belt_lvl2"		"Ogre Magi's Belt lvl2"
		"DOTA_Item_Ogre_Magis_Belt_lvl3"		"Ogre Magi's Belt lvl3"
		"DOTA_Item_Ogre_Magis_Cape_lvl2"		"Ogre Magi's Cape lvl2"
		"DOTA_Item_Ogre_Magis_Cape_lvl3"		"Ogre Magi's Cape lvl3"
		"DOTA_Item_Ogre_Magis_Hats_lvl2"		"Ogre Magi's Hats lvl2"
		"DOTA_Item_Ogre_Magis_Hats_lvl3"		"Ogre Magi's Hats lvl3"
		"DOTA_Item_Ogre_Magis_Weapon_lvl2"		"Ogre Magi's Weapon lvl2"
		"DOTA_Item_Ogre_Magis_Weapon_lvl3"		"Ogre Magi's Weapon lvl3"
		"DOTA_Item_Omniknight_lvl1"		"オムニナイト レベル 1"
		"DOTA_Item_Omniknight_lvl2"		"オムニナイト レベル 2"
		"DOTA_Item_Omniknight_lvl3"		"オムニナイト レベル 3"
		"DOTA_Item_Phantom_Assassin_lvl1"		"ファントムアサシン レベル1"
		"DOTA_Item_Phantom_Assassin_lvl2"		"ファントムアサシン レベル２"
		"DOTA_Item_Phantom_Assassin_lvl3"		"ファントムアサシン レベル３"
		"DOTA_Item_Puck_lvl1"		"パック レベル 1"
		"DOTA_Item_Puck_lvl2"		"パック レベル 2"
		"DOTA_Item_Puck_lvl3"		"パック レベル 3"
		"DOTA_Item_Queen_of_Pains_Armor_lvl2"		"Queen of Pain's Armor lvl2"
		"DOTA_Item_Queen_of_Pains_Armor_lvl3"		"Queen of Pain's Armor lvl3"
		"DOTA_Item_Queen_of_Pains_Hair_lvl2"		"Queen of Pain's Hair lvl2"
		"DOTA_Item_Queen_of_Pains_Hair_lvl3"		"Queen of Pain's Hair lvl3"
		"DOTA_Item_Queen_of_Pains_Weapon_lvl2"		"Queen of Pain's Weapon lvl2"
		"DOTA_Item_Queen_of_Pains_Weapon_lvl3"		"Queen of Pain's Weapon lvl3"
		"DOTA_Item_Queen_of_Pains_Wings_lvl2"		"Queen of Pain's Wings lvl2"
		"DOTA_Item_Queen_of_Pains_Wings_lvl3"		"Queen of Pain's Wings lvl3"
		"DOTA_Item_Shadow_Shaman_lvl1"		"シャドウシャーマン レベル1"
		"DOTA_Item_Shadow_Shaman_lvl2"		"シャドウシャーマン レベル2"
		"DOTA_Item_Shadow_Shaman_lvl3"		"シャドウシャーマン レベル3"
		"DOTA_Item_TestTitle"		"Test Title"
		"DOTA_Item_Timbersaw_lvl1"		"ティンバーソー レベル 1"
		"DOTA_Item_Timbersaw_lvl2"		"ティンバーソー レベル 2"
		"DOTA_Item_Timbersaw_lvl3"		"ティンバーソー レベル 3"
		"DOTA_Item_Tinker_lvl1"		"ティンカー レベル 1"
		"DOTA_Item_Tinker_lvl2"		"ティンカー レベル 2"
		"DOTA_Item_Tinker_lvl3"		"ティンカー レベル 3"
		"DOTA_Item_Treant_Protector_lvl1"		"トレントプロテクター レベル 1"
		"DOTA_Item_Treant_Protector_lvl2"		"トレントプロテクター レベル 2"
		"DOTA_Item_Treant_Protector_lvl3"		"トレントプロテクター レベル 3"
		"DOTA_Item_Venomancer_lvl1"		"ヴェノマンサー レベル1"
		"DOTA_Item_Venomancer_lvl2"		"ヴェノマンサー レベル2"
		"DOTA_Item_Venomancer_lvl3"		"ヴェノマンサー レベル3"
		"DOTA_WearableType_Unspecified_Wearable_Type"		"指定なしのウェアラブルタイプ"
	}
}
