"lang"
{
	"Language"		"danish"
	"Tokens"
	{
		"DAC_ItemType_Barricade_Skin"		"Skin til barrikade"
		"DAC_Item_13026_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13027"		"Morbid Maske til gadekamp"
		"DAC_Item_13027_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13028"		"Trodsighedens Hætte til gadekamp"
		"DAC_Item_13028_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13029"		"Trodsighedens Hætte til gadekamp"
		"DAC_Item_13029_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13030"		"Trodsighedens Hætte til gadekamp"
		"DAC_Item_13030_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13031"		"Trodsighedens Hætte til gadekamp"
		"DAC_Item_13031_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13032"		"Kaya til gadekamp"
		"DAC_Item_13032_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13033"		"Kaya til gadekamp"
		"DAC_Item_13033_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13034"		"Kaya til gadekamp"
		"DAC_Item_13034_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13035"		"Kaya til gadekamp"
		"DAC_Item_13035_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13036"		"Undvigelsesamulet til gadekamp"
		"DAC_Item_13036_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13037"		"Undvigelsesamulet til gadekamp"
		"DAC_Item_13037_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13038"		"Undvigelsesamulet til gadekamp"
		"DAC_Item_13038_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13039"		"Undvigelsesamulet til gadekamp"
		"DAC_Item_13039_desc"		"Genstand på niveau 1 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13040"		"Midas' Hånd til gadekamp"
		"DAC_Item_13040_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13041"		"Midas' Hånd til gadekamp"
		"DAC_Item_13041_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13042"		"Midas' Hånd til gadekamp"
		"DAC_Item_13042_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13043"		"Midas' Hånd til gadekamp"
		"DAC_Item_13043_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13044"		"Fortrop til gadekamp"
		"DAC_Item_13044_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13045"		"Fortrop til gadekamp"
		"DAC_Item_13045_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13046"		"Fortrop til gadekamp"
		"DAC_Item_13046_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13047"		"Fortrop til gadekamp"
		"DAC_Item_13047_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13048"		"Krystalis til gadekamp"
		"DAC_Item_13048_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13049"		"Krystalis til gadekamp"
		"DAC_Item_13049_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13050"		"Krystalis til gadekamp"
		"DAC_Item_13050_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13051"		"Krystalis til gadekamp"
		"DAC_Item_13051_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13052"		"Desolator til gadekamp"
		"DAC_Item_13052_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13053"		"Desolator til gadekamp"
		"DAC_Item_13053_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13054"		"Desolator til gadekamp"
		"DAC_Item_13054_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13055"		"Desolator til gadekamp"
		"DAC_Item_13055_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13056"		"Mystiske Støvler til gadekamp"
		"DAC_Item_13056_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13057"		"Mystiske Støvler til gadekamp"
		"DAC_Item_13057_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13058"		"Mystiske Støvler til gadekamp"
		"DAC_Item_13058_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13059"		"Mystiske Støvler til gadekamp"
		"DAC_Item_13059_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13060"		"Mordiggians Armbind til gadekamp"
		"DAC_Item_13060_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13061"		"Mordiggians Armbind til gadekamp"
		"DAC_Item_13061_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13062"		"Mordiggians Armbind til gadekamp"
		"DAC_Item_13062_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13063"		"Mordiggians Armbind til gadekamp"
		"DAC_Item_13063_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13064"		"Dragelanse til gadekamp"
		"DAC_Item_13064_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13065"		"Dragelanse til gadekamp"
		"DAC_Item_13065_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13066"		"Dragelanse til gadekamp"
		"DAC_Item_13066_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13067"		"Dragelanse til gadekamp"
		"DAC_Item_13067_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13068"		"Springdolk til gadekamp"
		"DAC_Item_13068_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13069"		"Springdolk til gadekamp"
		"DAC_Item_13069_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13070"		"Springdolk til gadekamp"
		"DAC_Item_13070_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13071"		"Springdolk til gadekamp"
		"DAC_Item_13071_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13072"		"Giftkugle til gadekamp"
		"DAC_Item_13072_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13073"		"Giftkugle til gadekamp"
		"DAC_Item_13073_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13074"		"Giftkugle til gadekamp"
		"DAC_Item_13074_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13075"		"Giftkugle til gadekamp"
		"DAC_Item_13075_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13076"		"Kraftstav til gadekamp"
		"DAC_Item_13076_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13077"		"Kraftstav til gadekamp"
		"DAC_Item_13077_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13078"		"Kraftstav til gadekamp"
		"DAC_Item_13078_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13079"		"Kraftstav til gadekamp"
		"DAC_Item_13079_desc"		"Genstand på niveau 2 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13080"		"Malstrøm til gadekamp"
		"DAC_Item_13080_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13081"		"Malstrøm til gadekamp"
		"DAC_Item_13081_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13082"		"Malstrøm til gadekamp"
		"DAC_Item_13082_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13083"		"Malstrøm til gadekamp"
		"DAC_Item_13083_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13084"		"Galskabens Maske til gadekamp"
		"DAC_Item_13084_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13085"		"Galskabens Maske til gadekamp"
		"DAC_Item_13085_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13086"		"Galskabens Maske til gadekamp"
		"DAC_Item_13086_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13087"		"Galskabens Maske til gadekamp"
		"DAC_Item_13087_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13088"		"Knivpanser til gadekamp"
		"DAC_Item_13088_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13089"		"Knivpanser til gadekamp"
		"DAC_Item_13089_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13090"		"Knivpanser til gadekamp"
		"DAC_Item_13090_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13091"		"Knivpanser til gadekamp"
		"DAC_Item_13091_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13092"		"Kranieknuser til gadekamp"
		"DAC_Item_13092_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13093"		"Kranieknuser til gadekamp"
		"DAC_Item_13093_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13094"		"Kranieknuser til gadekamp"
		"DAC_Item_13094_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13095"		"Kranieknuser til gadekamp"
		"DAC_Item_13095_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13096"		"Guddommelighedens Scepter til gadekamp"
		"DAC_Item_13096_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13097"		"Guddommelighedens Scepter til gadekamp"
		"DAC_Item_13097_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13098"		"Guddommelighedens Scepter til gadekamp"
		"DAC_Item_13098_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13099"		"Guddommelighedens Scepter til gadekamp"
		"DAC_Item_13099_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13100"		"Sølvklinge til gadekamp"
		"DAC_Item_13100_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13101"		"Sølvklinge til gadekamp"
		"DAC_Item_13101_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13102"		"Sølvklinge til gadekamp"
		"DAC_Item_13102_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13103"		"Sølvklinge til gadekamp"
		"DAC_Item_13103_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13104"		"Oktarinessens til gadekamp"
		"DAC_Item_13104_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13105"		"Oktarinessens til gadekamp"
		"DAC_Item_13105_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13106"		"Oktarinessens til gadekamp"
		"DAC_Item_13106_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13107"		"Oktarinessens til gadekamp"
		"DAC_Item_13107_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13108"		"Barrikade til gadekamp"
		"DAC_Item_13108_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13109"		"Barrikade til gadekamp"
		"DAC_Item_13109_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13110"		"Barrikade til gadekamp"
		"DAC_Item_13110_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13111"		"Barrikade til gadekamp"
		"DAC_Item_13111_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13112"		"Træningsmål til gadekamp"
		"DAC_Item_13112_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13113"		"Træningsmål til gadekamp"
		"DAC_Item_13113_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13114"		"Træningsmål til gadekamp"
		"DAC_Item_13114_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13115"		"Træningsmål til gadekamp"
		"DAC_Item_13115_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13117"		"Vredens Kampøkse til gadekamp"
		"DAC_Item_13117_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13118"		"Vredens Kampøkse til gadekamp"
		"DAC_Item_13118_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13119"		"Vredens Kampøkse til gadekamp"
		"DAC_Item_13119_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13120"		"Indsigtspipe til gadekamp"
		"DAC_Item_13120_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13121"		"Indsigtspipe til gadekamp"
		"DAC_Item_13121_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13122"		"Indsigtspipe til gadekamp"
		"DAC_Item_13122_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13123"		"Indsigtspipe til gadekamp"
		"DAC_Item_13123_desc"		"Genstand på niveau 3 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13128"		"Mekanism til gadekamp"
		"DAC_Item_13128_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13129"		"Mekanism til gadekamp"
		"DAC_Item_13129_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13130"		"Mekanism til gadekamp"
		"DAC_Item_13130_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13131"		"Mekanism til gadekamp"
		"DAC_Item_13131_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13132"		"Sommerfugl til gadekamp"
		"DAC_Item_13132_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13133"		"Sommerfugl til gadekamp"
		"DAC_Item_13133_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13134"		"Sommerfugl til gadekamp"
		"DAC_Item_13134_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13135"		"Sommerfugl til gadekamp"
		"DAC_Item_13135_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13136"		"Kadens Klinge til gadekamp"
		"DAC_Item_13136_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13137"		"Kadens Klinge til gadekamp"
		"DAC_Item_13137_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13138"		"Kadens Klinge til gadekamp"
		"DAC_Item_13138_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13139"		"Kadens Klinge til gadekamp"
		"DAC_Item_13139_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13140"		"Dagon til gadekamp"
		"DAC_Item_13140_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13141"		"Dagon til gadekamp"
		"DAC_Item_13141_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13142"		"Dagon til gadekamp"
		"DAC_Item_13142_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13143"		"Dagon til gadekamp"
		"DAC_Item_13143_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13144"		"Sort Stavvåben til gadekamp"
		"DAC_Item_13144_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13145"		"Sort Stavvåben til gadekamp"
		"DAC_Item_13145_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13146"		"Sort Stavvåben til gadekamp"
		"DAC_Item_13146_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13147"		"Sort Stavvåben til gadekamp"
		"DAC_Item_13147_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13148"		"Sjæleklinge til gadekamp"
		"DAC_Item_13148_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13149"		"Sjæleklinge til gadekamp"
		"DAC_Item_13149_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13150"		"Sjæleklinge til gadekamp"
		"DAC_Item_13150_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13151"		"Sjæleklinge til gadekamp"
		"DAC_Item_13151_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13152"		"Måneskår til gadekamp"
		"DAC_Item_13152_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13153"		"Måneskår til gadekamp"
		"DAC_Item_13153_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13154"		"Måneskår til gadekamp"
		"DAC_Item_13154_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13155"		"Måneskår til gadekamp"
		"DAC_Item_13155_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13156"		"Vysekultens Le til gadekamp"
		"DAC_Item_13156_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13157"		"Vysekultens Le til gadekamp"
		"DAC_Item_13157_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13158"		"Vysekultens Le til gadekamp"
		"DAC_Item_13158_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13159"		"Vysekultens Le til gadekamp"
		"DAC_Item_13159_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13160"		"Skadis Øje til gadekamp"
		"DAC_Item_13160_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13161"		"Skadis Øje til gadekamp"
		"DAC_Item_13161_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13162"		"Skadis Øje til gadekamp"
		"DAC_Item_13162_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13163"		"Skadis Øje til gadekamp"
		"DAC_Item_13163_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13164"		"Nulstiller til gadekamp"
		"DAC_Item_13164_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13165"		"Nulstiller til gadekamp"
		"DAC_Item_13165_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13166"		"Nulstiller til gadekamp"
		"DAC_Item_13166_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13167"		"Nulstiller til gadekamp"
		"DAC_Item_13167_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13168"		"Vladimirs Offer til gadekamp"
		"DAC_Item_13168_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13169"		"Vladimirs Offer til gadekamp"
		"DAC_Item_13169_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13170"		"Vladimirs Offer til gadekamp"
		"DAC_Item_13170_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13171"		"Vladimirs Offer til gadekamp"
		"DAC_Item_13171_desc"		"Genstand på niveau 4 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13172"		"Satanisk til gadekamp"
		"DAC_Item_13172_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13173"		"Satanisk til gadekamp"
		"DAC_Item_13173_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13174"		"Satanisk til gadekamp"
		"DAC_Item_13174_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13175"		"Satanisk til gadekamp"
		"DAC_Item_13175_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13176"		"Glødende Sværd til gadekamp"
		"DAC_Item_13176_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13177"		"Glødende Sværd til gadekamp"
		"DAC_Item_13177_desc"		"Genstand på niveau 5 – bruges til gadekampe i Byvandringen"
		"DAC_Item_13178"		"Glødende Sværd til gadekamp"
